"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Empty"
"2025-05-01","top_industrial","83","UPWK","Upwork Inc.","13.48 Post. 13.64","1.28% 1.18%","RATING: BUY 3.63","Human Resource & Employment Services",""
"2025-05-01","top_industrial","84","TPC","Tutor Perini Corporation","22.94 Post. 23.32","4.18% 1.66%","RATING: BUY 3.62","Construction and Engineering",""
"2025-05-01","top_industrial","85","NSC","Norfolk Southern Corporation","224.36 Post. 224.30","1.79% -0.03%","RATING: BUY 3.62","Rail Transportation",""
"2025-05-01","top_industrial","86","BAH","Booz Allen Hamilton Holding Corporation","119.81 Post. 120.25","0.23% 0.37%","RATING: BUY 3.61","Research and Consulting Services",""
"2025-05-01","top_industrial","87","CNI","Canadian National Railway Company","101.34 Post. 101.50","5.98% 0.16%","RATING: BUY 3.60","Rail Transportation",""
"2025-05-01","top_industrial","88","DRTTF","DIRTT Environmental Solutions Ltd.","0.72","-1.23%","RATING: BUY 3.60","Building Products",""
"2025-05-01","top_industrial","89","XMTR","Xometry, Inc.","27.78 Post. 27.63","6.36% -0.54%","RATING: BUY 3.60","Trading Companies and Distributors",""
"2025-05-01","top_industrial","90","GVA","Granite Construction Incorporated","81.15 Post. 81.70","2.24% 0.68%","RATING: BUY 3.59","Construction and Engineering",""
"2025-05-01","top_industrial","91","CMI","Cummins Inc.","299.85 Post. 302.75","1.69% 0.97%","RATING: BUY 3.59","Construction Machinery & Heavy Transportation Equipment",""
"2025-05-01","top_industrial","92","VMI","Valmont Industries, Inc.","307.43 Post. 306.76","2.92% -0.22%","RATING: BUY 3.58","Construction and Engineering",""
"2025-05-01","top_industrial","93","KEX","Kirby Corporation","104.48 Post. 104.50","4.92% 0.02%","RATING: BUY 3.57","Marine Transportation",""
"2025-05-01","top_industrial","94","VVX","V2X, Inc.","49.43","-0.06%","RATING: BUY 3.57","Aerospace and Defense",""
"2025-05-01","top_industrial","95","TASK","TaskUs, Inc.","13.51 Post. 13.25","-3.50% -1.92%","RATING: BUY 3.56","Data Processing & Outsourced Services",""
"2025-05-01","top_industrial","96","PLOW","Douglas Dynamics, Inc.","24.53","2.68%","RATING: BUY 3.55","Construction Machinery & Heavy Transportation Equipment",""
"2025-05-01","top_industrial","97","ESLT","Elbit Systems Ltd.","406.69 Post. 427.03","0.62% 5.00%","RATING: HOLD 3.48","Aerospace and Defense",""
"2025-05-01","top_industrial","98","RYCEY","Rolls-Royce Holdings plc","10.42","1.36%","RATING: HOLD 3.48","Aerospace and Defense",""
"2025-05-01","top_industrial","99","AIRJ","AirJoule Technologies Corporation","5.20","-0.57%","RATING: HOLD 3.47","Industrial Machinery & Supplies & Components",""
"2025-05-01","top_industrial","100","AGX","Argan, Inc.","163.77 Post. 165.82","3.13% 1.25%","RATING: HOLD 3.46","Construction and Engineering",""
