"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","","","CIK"
"2026-06-01","top_materials","23","PAAS","Pan American Silver Corp.","55.88","-1.95%","Rating: Buy4.22","Gold","24.06B","17.93","1.27B","1.26%","11.13%","24.79%","Rating: Buy4.00","52.21%","24.90","","","771992"
"2026-06-01","top_materials","24","LXU","LSB Industries, Inc.","12.84","2.39%","Rating: Buy4.18","Diversified Chemicals","901.90M","19.91","45.94M","-","-17.50%","40.43%","Rating: Hold2.50","16.50%","7.09","","","60714"
"2026-06-01","top_materials","25","AUGO","Aura Minerals Inc.","73.02","-5.50%","Rating: Buy4.18","Gold","6.47B","70.14","89.07M","4.04%","-5.11%","92.69%","Rating: Buy4.00","72.89%","22.24","","","1468642"
"2026-06-01","top_materials","26","EXK","Endeavour Silver Corp.","9.74","-2.36%","Rating: Buy4.16","Silver","2.95B","NM","-21.30M","-","12.02%","0.40%","Rating: Buy4.00","323.25%","3.73","","","1277866"
"2026-06-01","top_materials","27","IDR","Idaho Strategic Resources, Inc.","38.54","-1.46%","Rating: Buy4.15","Diversified Metals and Mining","618.32M","27.76","21.49M","-","-1.88%","-1.46%","Rating: Hold2.50","-","12.40","","","1030192"
"2026-06-01","top_materials","28","NEM","Newmont Corporation","107.57","-2.04%","Rating: Buy4.06","Gold","117.23B","14.27","8.46B","0.95%","2.04%","21.03%","Rating: Buy3.72","33.50%","52.08","","","1164727"
"2026-06-01","top_materials","29","MT","ArcelorMittal S.A.","69.77","0.52%","Rating: Buy4.04","Steel","52.67B","18.12","2.92B","0.86%","24.12%","60.97%","Rating: Hold3.00","13.32%","29.77","","","1243429"
"2026-06-01","top_materials","30","MUX","McEwen Inc.","21.71","-0.82%","Rating: Buy3.97","Gold","1.31B","19.50","74.08M","-","4.09%","17.62%","Rating: Strong Buy5.00","-","8.25","","","314203"
"2026-06-01","top_materials","31","CLF","Cleveland-Cliffs Inc.","13.53","-0.51%","Rating: Buy3.96","Steel","7.76B","NM","-1.22B","-","32.68%","4.29%","Rating: Hold3.00","34.23%","6.71","","","764065"
"2026-06-01","top_materials","32","NGLOY","Anglo American plc","27.60","2.53%","Rating: Buy3.91","Diversified Metals and Mining","57.55B","NM","-3.74B","0.59%","12.59%","42.36%","Rating: Buy4.00","1.94%","13.33","","",""
"2026-06-01","top_materials","33","TX","Ternium S.A.","48.56","0.64%","Rating: Buy3.88","Steel","9.47B","16.58","571.28M","5.39%","12.84%","31.01%","Rating: Buy4.00","9.95%","27.65","","","1342874"
"2026-06-01","top_materials","34","LOMA","Loma Negra Compañía Industrial Argentina Sociedad Anónima","12.54","4.50%","Rating: Buy3.86","Construction Materials","1.40B","53.59","26.13M","-","10.50%","-3.85%","Rating: Hold3.00","10.94%","7.04","","","1711375"
"2026-06-01","top_materials","35","USAS","Americas Gold and Silver Corporation","6.17","0.08%","Rating: Buy3.84","Diversified Metals and Mining","2.02B","NM","-57.79M","-","12.00%","38.74%","-Rating: Not Covered","NM","1.53","","","1286973"
"2026-06-01","top_materials","36","CX","CEMEX, S.A.B. de C.V.","13.24","1.11%","Rating: Buy3.83","Construction Materials","19.08B","36.86","453.70M","0.69%","7.56%","21.32%","-Rating: Not Covered","5.76%","6.63","","","1076378"
"2026-06-01","top_materials","37","IAG","IAMGOLD Corporation","17.51","-2.07%","Rating: Buy3.80","Gold","10.45B","10.56","1.00B","-","9.29%","15.06%","Rating: Buy4.00","51.51%","6.69","","","1203464"
"2026-06-01","top_materials","38","ASM","Avino Silver & Gold Mines Ltd.","7.24","-1.09%","Rating: Buy3.78","Precious Metals and Minerals","1.25B","33.02","36.94M","-","17.50%","30.71%","Rating: Buy4.00","-","3.10","","","316888"
"2026-06-01","top_materials","39","KGC","Kinross Gold Corporation","29.11","-3.55%","Rating: Buy3.77","Gold","36.27B","12.92","2.87B","0.53%","1.07%","7.36%","Rating: Buy4.00","37.02%","14.71","","","701818"
"2026-06-01","top_materials","40","CGAU","Centerra Gold Inc.","17.16","-2.91%","Rating: Buy3.77","Gold","3.51B","5.64","632.97M","1.15%","1.14%","33.06%","Rating: Strong Buy5.00","22.66%","6.71","","","1854640"
"2026-06-01","top_materials","41","BVN","Compañía de Minas Buenaventura S.A.A.","35.58","-3.56%","Rating: Buy3.75","Diversified Metals and Mining","9.37B","9.50","977.45M","5.37%","22.88%","48.87%","Rating: Buy4.00","19.11%","15.34","","","1013131"
"2026-06-01","top_materials","42","ERO","Ero Copper Corp.","31.19","2.46%","Rating: Buy3.73","Copper","3.18B","10.87","292.27M","-","17.30%","19.98%","Rating: Buy3.50","53.81%","12.79","","","1853860"
"2026-06-01","top_materials","43","KRO","Kronos Worldwide, Inc.","6.95","-3.34%","Rating: Buy3.68","Commodity Chemicals","827.23M","NM","-133.80M","2.78%","0.14%","41.81%","-Rating: Not Covered","-15.31%","4.08","","","1257640"
"2026-06-01","top_materials","44","AU","AngloGold Ashanti plc","91.29","-5.73%","Rating: Buy3.63","Gold","48.96B","14.24","3.47B","4.79%","7.04%","13.03%","Rating: Buy3.75","50.54%","43.44","","","1973832"
"2026-06-01","top_materials","45","HMY","Harmony Gold Mining Company Limited","17.50","-4.21%","Rating: Buy3.58","Gold","11.41B","11.75","982.83M","3.49%","21.31%","-7.07%","Rating: Buy3.50","65.72%","12.58","","","1023514"
"2026-06-01","top_materials","46","ALM","Almonty Industries Inc.","19.41","-1.27%","Rating: Hold3.49","Diversified Metals and Mining","5.63B","NM","-95.27M","-","-0.56%","186.59%","Rating: Strong Buy4.50","NM","2.90","","","1670061"
