"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","",""
"2026-04-01","top_consumer_staples","23","HNST","The Honest Company, Inc.","2.82","-4.08%","Rating: Buy4.20","Personal Care Products","330.67M","NM","-15.69M","-","5.00%","-20.11%","Rating: Buy3.50","-0.46%","2.07","",""
"2026-04-01","top_consumer_staples","24","BG","Bunge Global SA","127.72","0.41%","Rating: Buy4.18","Agricultural Products & Services","24.61B","25.80","816.00M","2.20%","5.43%","56.55%","Rating: Buy3.66","18.33%","68.33","",""
"2026-04-01","top_consumer_staples","25","BTI","British American Tobacco p.l.c.","57.83","-1.09%","Rating: Buy4.09","Tobacco","125.36B","12.40","10.47B","5.71%","-6.67%","10.15%","Rating: Hold3.37","3.81%","37.96","",""
"2026-04-01","top_consumer_staples","26","ADM","Archer-Daniels-Midland Company","72.21","-0.66%","Rating: Buy4.07","Agricultural Products & Services","35.03B","32.64","1.08B","2.86%","5.29%","21.68%","Rating: Hold3.00","0.16%","40.98","",""
"2026-04-01","top_consumer_staples","27","FMX","Fomento Económico Mexicano, S.A.B. de C.V.","113.22","1.94%","Rating: Buy4.06","Soft Drinks & Non-alcoholic Beverages","34.69B","38.64","1.08B","7.50%","-1.12%","12.60%","Rating: Buy4.00","12.64%","83.08","",""
"2026-04-01","top_consumer_staples","28","DDL","Dingdong (Cayman) Limited","2.64","2.53%","Rating: Buy4.01","Food Retail","550.76M","14.50","40.64M","-","-9.51%","24.15%","Rating: Hold3.00","15.39%","1.65","",""
"2026-04-01","top_consumer_staples","29","KR","The Kroger Co.","70.18","-3.01%","Rating: Buy4.01","Food Retail","44.43B","46.99","1.02B","1.93%","6.04%","7.34%","Rating: Buy3.57","2.45%","58.60","",""
"2026-04-01","top_consumer_staples","30","SYY","Sysco Corporation","71.51","0.25%","Rating: Buy3.93","Food Distributors","34.11B","19.22","1.80B","3.03%","-21.75%","-13.37%","Rating: Buy4.00","4.12%","67.12","",""
"2026-04-01","top_consumer_staples","31","ACI","Albertsons Companies, Inc.","16.82","-1.32%","Rating: Buy3.89","Food Retail","8.76B","11.09","870.00M","3.52%","-4.80%","-2.68%","Rating: Buy4.00","-3.27%","15.80","",""
"2026-04-01","top_consumer_staples","32","NATR","Nature's Sunshine Products, Inc.","24.60","2.54%","Rating: Buy3.87","Personal Care Products","420.01M","22.63","19.52M","-","-13.33%","54.57%","Rating: Buy3.66","12.83%","11.01","",""
"2026-04-01","top_consumer_staples","33","RLX","RLX Technology Inc.","2.21","0.23%","Rating: Buy3.77","Tobacco","2.68B","22.04","131.83M","4.55%","-9.09%","-16.35%","Rating: Strong Buy4.50","52.05%","1.66","",""
"2026-04-01","top_consumer_staples","34","CCEP","Coca-Cola Europacific Partners PLC","91.62","1.05%","Rating: Buy3.72","Soft Drinks & Non-alcoholic Beverages","40.75B","18.27","2.28B","3.15%","-17.89%","0.29%","Rating: Hold3.00","8.87%","81.00","",""
"2026-04-01","top_consumer_staples","35","PUGBY","Puig Brands, S.A.","9.80","1.72%","Rating: Buy3.63","Personal Care Products","11.00B","15.67","697.48M","2.22%","1.82%","23.59%","Rating: Buy4.00","9.00%","7.49","",""
"2026-04-01","top_consumer_staples","36","KOF","Coca-Cola FEMSA, S.A.B. de C.V.","99.70","2.20%","Rating: Buy3.62","Soft Drinks & Non-alcoholic Beverages","20.49B","15.48","1.32B","-","-12.24%","17.39%","Rating: Buy4.00","11.38%","80.23","",""
"2026-04-01","top_consumer_staples","37","IPAR","Interparfums, Inc.","91.72","0.97%","Rating: Buy3.57","Personal Care Products","2.91B","17.34","168.39M","3.52%","-9.86%","-7.66%","Rating: Hold3.00","2.65%","77.21","",""
"2026-04-01","top_consumer_staples","38","TGT","Target Corporation","121.10","-0.08%","Rating: Hold3.45","Consumer Staples Merchandise Retail","54.89B","14.91","3.71B","3.76%","6.51%","35.12%","Rating: Hold3.20","-0.21%","83.44","",""
"2026-04-01","top_consumer_staples","39","COST","Costco Wholesale Corporation","992.25","-0.42%","Rating: Hold3.44","Consumer Staples Merchandise Retail","442.07B","51.81","8.55B","0.52%","-1.42%","7.65%","Rating: Hold3.28","10.86%","844.06","",""
"2026-04-01","top_consumer_staples","40","CASY","Casey's General Stores, Inc.","730.70","0.39%","Rating: Hold3.43","Food Retail","26.90B","41.79","650.07M","0.31%","6.17%","28.75%","Rating: Hold3.00","13.65%","397.80","",""
"2026-04-01","top_consumer_staples","41","HSY","The Hershey Company","204.21","-1.77%","Rating: Hold3.42","Packaged Foods and Meats","42.14B","47.90","883.26M","2.79%","-12.02%","11.14%","Rating: Hold3.00","3.75%","150.04","",""
"2026-04-01","top_consumer_staples","42","BGS","B&G Foods, Inc.","4.89","1.56%","Rating: Hold3.41","Packaged Foods and Meats","384.66M","NM","-43.26M","15.80%","-9.42%","8.58%","Rating: Sell2.00","-2.37%","3.67","",""
"2026-04-01","top_consumer_staples","43","SSDOY","Shiseido Company, Limited","21.63","5.03%","Rating: Hold3.40","Personal Care Products","8.03B","NM","-259.72M","1.21%","-2.60%","20.27%","-Rating: Not Covered","17.31%","13.60","",""
"2026-04-01","top_consumer_staples","44","WMT","Walmart Inc.","124.40","0.10%","Rating: Hold3.40","Consumer Staples Merchandise Retail","990.81B","45.52","21.89B","0.80%","-2.87%","20.59%","Rating: Sell2.45","8.03%","79.81","",""
"2026-04-01","top_consumer_staples","45","WMMVY","Wal-Mart De Mexico S.A.B. de C.V. ADR","33.10","1.74%","Rating: Hold3.39","Consumer Staples Merchandise Retail","56.15B","20.36","2.77B","1.45%","0.12%","5.48%","-Rating: Not Covered","10.70%","26.05","",""
"2026-04-01","top_consumer_staples","46","CENT","Central Garden & Pet Company","36.42","-0.95%","Rating: Hold3.39","Household Products","2.07B","14.86","155.68M","-","-6.18%","12.62%","Rating: Hold3.00","4.15%","28.77","",""
"2026-04-01","top_consumer_staples","47","PEP","PepsiCo, Inc.","154.40","-0.57%","Rating: Hold3.38","Soft Drinks & Non-alcoholic Beverages","212.27B","25.88","8.24B","3.66%","-8.51%","10.57%","Rating: Hold3.23","4.73%","127.60","",""
"2026-04-01","top_consumer_staples","48","CENTA","Central Garden & Pet Company","32.04","-1.17%","Rating: Hold3.38","Household Products","2.07B","14.86","155.68M","-","-6.14%","9.79%","Rating: Hold3.00","4.15%","25.97","",""
"2026-04-01","top_consumer_staples","49","KO","The Coca-Cola Company","75.94","-0.14%","Rating: Hold3.37","Soft Drinks & Non-alcoholic Beverages","327.33B","25.02","13.11B","2.79%","-6.76%","14.67%","Rating: Hold3.00","6.53%","65.35","",""
"2026-04-01","top_consumer_staples","50","BF.B","Brown-Forman Corporation","26.41","-0.11%","Rating: Hold3.36","Distillers and Vintners","12.19B","15.39","807.00M","3.49%","-8.39%","-2.36%","Rating: Buy3.50","-7.83%","22.61","",""
"2026-04-01","top_consumer_staples","51","STZ","Constellation Brands, Inc.","151.25","0.83%","Rating: Hold3.36","Distillers and Vintners","26.01B","23.93","1.11B","2.72%","-4.98%","11.38%","Rating: Hold3.33","-1.18%","126.45","",""
"2026-04-01","top_consumer_staples","52","MO","Altria Group, Inc.","65.34","-0.98%","Rating: Hold3.33","Tobacco","110.33B","16.03","6.95B","6.43%","-4.42%","-0.11%","Rating: Hold3.38","2.19%","52.82","",""
"2026-04-01","top_consumer_staples","53","DG","Dollar General Corporation","118.86","0.11%","Rating: Hold3.31","Consumer Staples Merchandise Retail","26.15B","17.33","1.51B","1.99%","-24.01%","14.88%","Rating: Buy3.80","8.19%","84.70","",""
"2026-04-01","top_consumer_staples","54","CL","Colgate-Palmolive Company","85.24","0.01%","Rating: Hold3.29","Household Products","68.38B","32.41","2.13B","2.49%","-14.03%","6.62%","Rating: Buy3.75","2.84%","74.55","",""
"2026-04-01","top_consumer_staples","55","CART","Maplebear Inc.","38.22","2.03%","Rating: Hold3.28","Food Retail","9.01B","23.43","447.00M","-","-0.13%","1.90%","Rating: Hold3.00","16.92%","32.73","",""
"2026-04-01","top_consumer_staples","56","SPB","Spectrum Brands Holdings, Inc.","74.93","1.67%","Rating: Hold3.27","Household Products","1.71B","17.43","104.80M","2.55%","-5.97%","40.30%","Rating: Buy4.00","-6.24%","49.99","",""
"2026-04-01","top_consumer_staples","57","UL","Unilever PLC","56.10","-1.53%","Rating: Hold3.26","Personal Care Products","121.36B","18.27","11.12B","3.89%","-22.75%","-10.29%","Rating: Hold3.33","1.78%","54.97","",""
"2026-04-01","top_consumer_staples","58","VFF","Village Farms International, Inc.","2.82","-0.88%","Rating: Hold3.26","Agricultural Products & Services","326.90M","15.78","32.44M","-","-20.67%","-9.27%","Rating: Buy3.80","230.29%","0.45","",""
"2026-04-01","top_consumer_staples","59","TATYY","Tate & Lyle plc","18.86","-3.03%","Rating: Hold3.26","Packaged Foods and Meats","2.12B","44.92","45.73M","3.66%","-4.73%","-21.21%","-Rating: Not Covered","11.55%","17.64","",""
"2026-04-01","top_consumer_staples","60","CRESY","Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria","12.56","-1.26%","Rating: Hold3.24","Agricultural Products & Services","960.72M","7.02","134.87M","4.78%","11.78%","39.43%","-Rating: Not Covered","-","8.32","",""
"2026-04-01","top_consumer_staples","61","PG","The Procter & Gamble Company","143.57","-0.60%","Rating: Hold3.23","Household Products","335.68B","21.41","16.46B","2.93%","-13.61%","-5.99%","Rating: Hold3.10","3.30%","137.62","",""
"2026-04-01","top_consumer_staples","62","OLPX","Olaplex Holdings, Inc.","2.03","0.00%","Rating: Hold3.23","Personal Care Products","1.36B","NM","-9.25M","-","26.09%","54.96%","Rating: Hold3.33","-8.10%","0.99","",""
"2026-04-01","top_consumer_staples","63","COCO","The Vita Coco Company, Inc.","48.54","1.31%","Rating: Hold3.22","Soft Drinks & Non-alcoholic Beverages","2.73B","40.26","71.32M","-","-17.48%","12.81%","Rating: Hold3.25","20.64%","25.79","",""
"2026-04-01","top_consumer_staples","64","MNST","Monster Beverage Corporation","73.03","0.79%","Rating: Hold3.21","Soft Drinks & Non-alcoholic Beverages","70.86B","37.35","1.91B","-","-15.05%","7.65%","Rating: Hold3.33","17.12%","54.73","",""
"2026-04-01","top_consumer_staples","65","ADRNY","Koninklijke Ahold Delhaize N.V.","47.60","2.21%","Rating: Hold3.21","Food Retail","40.98B","15.82","2.67B","3.55%","-5.52%","14.87%","Rating: Buy4.00","6.05%","32.25","",""
"2026-04-01","top_consumer_staples","66","KVUE","Kenvue Inc.","17.35","0.61%","Rating: Hold3.21","Personal Care Products","33.04B","22.68","1.47B","4.81%","-9.83%","6.22%","Rating: Buy3.66","1.07%","14.02","",""
"2026-04-01","top_consumer_staples","67","NGVC","Natural Grocers by Vitamin Cottage, Inc.","25.89","0.15%","Rating: Hold3.19","Food Retail","595.41M","12.55","47.84M","2.32%","-4.37%","-35.38%","Rating: Hold3.25","20.67%","23.47","",""
"2026-04-01","top_consumer_staples","68","NSRGY","Nestlé S.A.","99.01","-0.09%","Rating: Hold3.19","Packaged Foods and Meats","252.28B","22.03","11.40B","3.71%","-9.12%","7.99%","Rating: Buy3.66","3.35%","86.98","",""
"2026-04-01","top_consumer_staples","69","SJM","The J. M. Smucker Company","95.72","-0.75%","Rating: Hold3.15","Packaged Foods and Meats","10.29B","NM","-1.26B","4.56%","-16.83%","-11.20%","Rating: Buy4.00","4.21%","93.30","",""
"2026-04-01","top_consumer_staples","70","DLTR","Dollar Tree, Inc.","109.34","-0.16%","Rating: Hold3.15","Consumer Staples Merchandise Retail","21.61B","18.44","1.28B","-","-13.42%","16.04%","Rating: Hold3.40","7.59%","61.87","",""
"2026-04-01","top_consumer_staples","71","LRLCY","L'Oréal S.A.","82.90","1.19%","Rating: Hold3.14","Personal Care Products","215.53B","29.95","7.20B","2.00%","-12.35%","-5.44%","Rating: Hold3.25","7.83%","71.97","",""
"2026-04-01","top_consumer_staples","72","CHD","Church & Dwight Co., Inc.","92.65","-0.72%","Rating: Hold3.14","Household Products","22.11B","30.90","736.80M","1.32%","-11.01%","6.49%","Rating: Hold3.00","2.92%","81.33","",""
"2026-04-01","top_consumer_staples","73","MAMA","Mama's Creations, Inc.","15.45","0.72%","Rating: Hold3.12","Packaged Foods and Meats","623.62M","128.30","4.65M","-","-10.50%","45.96%","Rating: Hold3.00","23.77%","6.07","",""
"2026-04-01","top_consumer_staples","74","EMBVF","Arca Continental, S.A.B. de C.V.","11.59","0.86%","Rating: Hold3.12","Soft Drinks & Non-alcoholic Beverages","19.54B","18.02","1.09B","8.36%","-3.53%","10.00%","-Rating: Not Covered","9.44%","9.35","",""
"2026-04-01","top_consumer_staples","75","HRL","Hormel Foods Corporation","22.25","-1.77%","Rating: Hold3.12","Packaged Foods and Meats","12.46B","25.47","489.42M","5.17%","-11.52%","-8.45%","Rating: Buy3.50","0.91%","21.03","",""
"2026-04-01","top_consumer_staples","76","ELF","e.l.f. Beauty, Inc.","63.13","4.16%","Rating: Hold3.10","Personal Care Products","3.58B","34.26","103.94M","-","-34.16%","-54.25%","Rating: Buy3.66","18.66%","49.40","",""
"2026-04-01","top_consumer_staples","77","UNLYF","Unilever PLC","55.84","-4.14%","Rating: Hold3.09","Personal Care Products","121.36B","18.27","11.12B","0.95%","-20.34%","-4.86%","Rating: Hold3.00","1.78%","55.42","",""
