"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","","","CIK"
"2026-06-01","top_utility","23","AWR","American States Water Company","76.06","-1.57%","Rating: Hold3.31","Water Utilities","3.03B","22.54","133.55M","2.61%","-0.77%","4.74%","Rating: Buy3.66","9.05%","69.45","","","1056903"
"2026-06-01","top_utility","24","RNW","ReNew Energy Global Plc","6.49","1.56%","Rating: Hold3.28","Renewable Electricity","2.33B","21.90","111.22M","-","26.04%","-16.03%","Rating: Hold3.00","13.19%","4.39","","","1848763"
"2026-06-01","top_utility","25","YORW","The York Water Company","29.46","-1.47%","Rating: Hold3.24","Water Utilities","484.66M","20.34","21.23M","3.05%","2.75%","-8.37%","Rating: Buy4.00","-","28.26","","","108985"
"2026-06-01","top_utility","26","NEE","NextEra Energy, Inc.","84.34","-3.07%","Rating: Hold3.21","Electric Utilities","181.47B","22.10","8.18B","2.86%","-7.60%","0.83%","Rating: Buy3.84","18.80%","67.20","","","753308"
"2026-06-01","top_utility","27","DUK","Duke Energy Corporation","120.27","-2.00%","Rating: Hold3.20","Electric Utilities","95.68B","18.87","5.14B","3.47%","-2.99%","-0.98%","Rating: Hold3.33","8.32%","113.66","","","1326160"
"2026-06-01","top_utility","28","SO","The Southern Company","89.51","-2.76%","Rating: Hold3.20","Electric Utilities","103.77B","23.51","4.36B","3.30%","-1.56%","1.02%","Rating: Buy3.66","9.04%","83.80","","","92122"
"2026-06-01","top_utility","29","CEPU","Central Puerto S.A.","15.99","1.52%","Rating: Hold3.19","Independent Power Producers and Energy Traders","2.51B","7.69","326.45M","-","9.76%","-0.94%","Rating: Buy4.00","20.15%","7.43","","","1717161"
"2026-06-01","top_utility","30","GNE","Genie Energy Ltd.","13.93","0.36%","Rating: Hold3.18","Electric Utilities","366.48M","18.01","16.34M","2.16%","1.46%","-4.14%","-Rating: Not Covered","-","12.69","","","1528356"
"2026-06-01","top_utility","31","PCG","PG&E Corporation","16.29","-0.34%","Rating: Hold3.17","Electric Utilities","35.98B","12.68","2.84B","1.22%","-0.18%","1.36%","Rating: Buy3.50","9.87%","12.97","","","1004980"
"2026-06-01","top_utility","32","ETR","Entergy Corporation","105.67","-3.10%","Rating: Hold3.16","Electric Utilities","49.93B","27.87","1.78B","2.35%","-4.90%","11.82%","Rating: Hold3.00","16.09%","80.11","","","65984"
"2026-06-01","top_utility","33","ATO","Atmos Energy Corporation","167.79","-0.79%","Rating: Hold3.15","Gas Utilities","28.23B","20.64","1.35B","2.37%","-8.93%","-4.11%","Rating: Buy4.00","13.72%","149.98","","","731802"
"2026-06-01","top_utility","34","EIX","Edison International","69.18","-1.09%","Rating: Hold3.14","Electric Utilities","26.91B","7.60","3.55B","5.02%","2.94%","18.76%","Rating: Hold3.00","9.00%","47.73","","","827052"
"2026-06-01","top_utility","35","ELEZY","Endesa, S.A.","20.70","-0.44%","Rating: Hold3.13","Electric Utilities","43.84B","16.15","2.70B","2.80%","-5.80%","13.61%","-Rating: Not Covered","8.44%","14.33","","",""
"2026-06-01","top_utility","36","EXC","Exelon Corporation","44.74","-1.98%","Rating: Hold3.13","Electric Utilities","46.70B","16.70","2.78B","3.68%","-2.93%","-3.14%","Rating: Buy4.00","9.52%","42.11","","","1109357"
"2026-06-01","top_utility","37","SWX","Southwest Gas Holdings, Inc.","84.92","-1.50%","Rating: Hold3.11","Gas Utilities","6.24B","26.13","464.33M","2.99%","-6.19%","3.80%","-Rating: Not Covered","-0.26%","70.03","","","1692115"
"2026-06-01","top_utility","38","D","Dominion Energy, Inc.","65.16","-2.66%","Rating: Hold3.10","Multi-Utilities","58.87B","19.77","2.95B","3.99%","7.10%","6.64%","Rating: Buy4.00","11.19%","53.36","","","715957"
"2026-06-01","top_utility","39","VST","Vistra Corp.","155.61","-2.88%","Rating: Hold3.09","Independent Power Producers and Energy Traders","54.03B","27.05","2.24B","0.57%","4.19%","-10.42%","Rating: Buy3.80","14.90%","132.66","","","1692819"
"2026-06-01","top_utility","40","VEOEY","Veolia Environnement SA","19.82","-2.41%","Rating: Hold3.07","Multi-Utilities","29.67B","20.29","1.43B","4.31%","0.15%","19.72%","Rating: Buy4.00","9.19%","16.01","","",""
"2026-06-01","top_utility","41","TAC","TransAlta Corporation","14.32","1.06%","Rating: Hold3.06","Independent Power Producers and Energy Traders","4.24B","NM","-122.90M","1.43%","18.40%","-2.27%","-Rating: Not Covered","-5.20%","9.62","","","1144800"
