Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"ASML","ASML Holding","Semiconductor Equipment - Wafer Fabrication","1,423.00","0.45%","4.31%","36.01%","5.49%","-8.08%","-5.11","559,642.75","43.8","1.68","16.24%","26.11%","Jan 31,2026","F","A","A","B","2.27%","15.14"
"AGRO","Adecoagro","Agriculture - Operations","8.86","3.95%","-1.35%","10.97%","55.13%","0.00%","NA","886.77","7.32","NA","-89.11%","NA","Jan 31,2026","A","F","B","C","-1.90%",".64"
"ATRC","AtriCure","Medical - Products","36.93","0.00%","-7.67%","-6.60%","72.73%","-12.38%","90.91","1,836.05","NA","NA","64.18%","NA","Jan 31,2026","D","A","B","A","-2.17%","3.54"
"AVVIY","Aviva","Insurance - Life Insurance","17.71","3.74%","-0.28%","-4.37%","3.70%","3.24%","NA","27,076.21","10.54","NA","36.59%","NA","Jan 31,2026","B","D","D","C","0.67%","NA"
"BHRB","Burke & Herbert Financial Services Corp.","Financial - Miscellaneous Services","65.48","3.36%","-3.81%","3.35%","3.98%","0.00%","3.66","984.07","8.08","NA","4.92%","NA","Jan 31,2026","B","D","B","C","1.53%","2"
"IPSC","Century Therapeutics","Medical - Drugs","1.90","0.00%","-12.99%","102.05%","15.85%","0.00%","17.95","166.07","NA","NA","91.30%","NA","Jan 31,2026","F","D","B","F","-14.83%","1.45"
"CVLT","CommVault Systems","Computer - Software","85.70","0.00%","-29.17%","-30.20%","6.56%","6.61%","19.39","3,768.60","20.44","NA","14.79%","NA","Jan 31,2026","D","D","A","D","-2.62%","3.29"
"ELUXY","Electrolux","Household Appliances","16.06","0.00%","-3.05%","4.22%","0.00%","0.00%","NA","2,273.11","12.07","NA","104.62%","NA","Jan 31,2026","B","D","F","F","-2.85%",".17"
"ENVA","Enova International","Financial - Consumer Loans","165.17","0.00%","2.75%","5.03%","4.25%","3.30%","8.13","4,645.84","11.22","NA","13.58%","NA","Jan 31,2026","A","B","B","A","3.67%","1.47"
"FINW","FinWise Bancorp","Banks - Southwest","17.51","0.00%","-1.02%","2.84%","6.06%","0.00%","-22.86","237.91","10.01","NA","54.87%","NA","Jan 31,2026","C","F","A","F","1.15%","1.58"
"MOD","Modine Manufacturing","Automotive - Original Equipment","184.66","0.00%","19.79%","32.37%","0.00%","1.48%","9.28","9,722.08","39.87","1.17","14.32%","34.00%","Jan 31,2026","D","D","D","F","20.30%","3.62"
"RVLV","Revolve Group","Textile - Apparel","27.65","0.00%","-5.97%","-6.59%","0.00%","-2.71%","118.18","1,972.39","33.82","2.64","8.70%","12.79%","Jan 31,2026","D","A","F","B","-1.23%","1.65"
"SDVKY","Sandvik","Manufacturing - Tools & Related Products","39.55","0.90%","10.57%","25.87%","1.29%","-3.72%","-2.7","49,610.96","25.27","1.69","26.61%","14.95%","Jan 31,2026","D","B","F","F","3.40%","4.02"
"SANM","Sanmina","Electronics - Manufacturing Services","141.68","0.00%","-13.97%","2.91%","4.38%","5.75%","10.7","7,736.42","14.09",".54","66.56%","26.00%","Jan 31,2026","A","A","A","A","1.17%",".83"
"LUV","Southwest Airlines","Transportation - Airline","47.52","1.52%","14.28%","17.35%","23.37%","16.05%","3.57","24,575.21","12.82",".39","298.92%","32.80%","Jan 31,2026","B","D","A","B","18.70%",".88"
"TDC","Teradata","Computer- Storage Devices","28.52","0.00%","-3.61%","-5.29%","0.00%","1.56%","35.85","2,658.06","11.49","2.37","-0.83%","4.84%","Jan 31,2026","B","C","D","C","-2.90%","1.61"
"TFIN","Triumph Financial, Inc.","Financial - Miscellaneous Services","63.09","0.00%","-7.93%","3.98%","1.71%","0.00%","165.52","1,499.23","35.31","NA","57.02%","NA","Jan 31,2026","F","D","C","F","2.84%","2.89"
"VRCA","Verrica Pharmaceuticals","Medical - Drugs","7.03","0.00%","-6.73%","-13.24%","NA","NA","111.4","112.41","NA","NA","96.96%","NA","Jan 31,2026","F","A","D","C","0.42%","3.65"
"BPCGY","Banco Comercial Portugues","Banks - Foreign","10.78","1.44%","6.11%","1.65%","12.50%","8.70%","66.67","15,951.99","11.97","NA","NA","NA","Jan 30,2026","C","D","B","D","-9.68%","3.17"
"CZNC","Citizens & Northern Corp","Banks - Northeast","22.76","4.92%","-0.22%","10.71%","5.97%","2.08%","-11.32","405.17","9.16","NA","11.83%","NA","Jan 30,2026","C","F","D","F","4.39%","2.51"
"FOR","Forestar Group","Real Estate - Development","26.02","0.00%","2.21%","4.99%","8.13%","3.81%","42.86","1,324.21","8.5","NA","-7.55%","NA","Jan 30,2026","B","F","B","D","2.70%",".79"
"GBOOY","Grupo Financiero Banorte","Financial - Miscellaneous Services","56.32","7.03%","11.72%","28.24%","7.93%","NA","14.07","31,687.88","8.62","1.07","15.37%","8.07%","Jan 30,2026","A","F","B","D","2.23%","1.45"
"HSY","Hershey","Food - Confectionery","194.75","2.81%","-0.06%","4.70%","1.44%","0.92%","19.27","39,492.40","27.77","NA","-35.86%","NA","Jan 30,2026","D","C","B","D","-0.76%","3.44"
"HTH","Hilltop Holdings","Banks - Southeast","37.45","1.92%","-0.24%","8.43%","3.85%","4.67%","50","2,296.75","17.36","NA","-18.18%","NA","Jan 30,2026","A","C","C","B","1.04%","1.41"
"SABK","South Atlantic Bancshares","Banks - Southeast","20.00","0.50%","1.40%","1.27%","6.36%","NA","10.71","150.62","8.55","NA","11.43%","NA","Jan 30,2026","C","C","A","B","0.00%","1.47"
"WSFS","WSFS","Financial - Savings and Loan","64.73","1.05%","8.05%","17.16%","9.41%","10.14%","13.49","3,539.17","11.29","NA","9.98%","NA","Jan 30,2026","C","F","A","D","4.00%","2.6"
"WASH","Washington Trust Bancorp","Banks - Northeast","34.37","6.52%","8.07%","15.13%","4.10%","3.20%","10.67","654.23","10.4",".75","22.68%","13.92%","Jan 30,2026","B","C","B","B","12.69%","1.66"
"BOH","Bank of Hawaii","Banks - West","74.78","3.74%","1.77%","10.18%","4.55%","6.27%","11.2","2,975.13","13.43",".63","20.30%","21.33%","Jan 29,2026","C","F","A","F","1.61%","2.79"
"CBOE","Cboe Global Markets","Securities and Exchanges","265.06","1.09%","-4.19%","5.78%","3.82%","5.00%","5.53","27,737.07","23.68","1.43","22.53%","16.55%","Jan 29,2026","F","F","A","F","0.35%","6.01"
"CMPR","Cimpress","Consumer Services - Miscellaneous","79.09","0.00%","-3.29%","17.15%","0.00%","0.16%","21.12","1,920.72","22.34","NA","510.34%","NA","Jan 29,2026","A","A","F","A","0.13%",".54"
"CMWAY","Commonwealth Bank of Australia","Banks - Foreign","103.30","3.26%","2.20%","-0.99%","4.67%","4.99%","NA","172,868.67","24.25","8.19","-20.67%","2.96%","Jan 29,2026","F","D","B","F","-0.03%","NA"
"FSUN","FirstSun Capital Bancorp","Banks - Midwest","39.48","0.00%","-3.96%","1.90%","9.76%","4.15%","10.47","1,100.99","9.75","NA","13.76%","NA","Jan 29,2026","A","C","A","B","1.86%","1.93"
"GTN","Gray Media Inc.","Broadcast Radio and Television","4.51","7.10%","-5.09%","-11.36%","17.89%","NA","41.46","460.41","1.56","NA","-143.15%","NA","Jan 29,2026","A","F","B","C","1.90%",".14"
"ISRG","Intuitive Surgical","Medical - Instruments","504.22","0.00%","-3.47%","-10.38%","4.52%","3.46%","12.44","180,751.02","50.17","3.2","12.54%","15.70%","Jan 29,2026","F","D","C","F","-2.78%","17.96"
"IVZ","Invesco","Financial - Investment Management","27.29","3.08%","-5.20%","5.52%","5.14%","3.23%","6.9","12,146.59","10.24",".49","31.03%","20.85%","Jan 29,2026","B","C","A","A","0.58%","1.9"
"SKM","SK Telecom Co.","Wireless Non-US ","28.19","3.03%","15.53%","33.32%","38.60%","NA","NA","11,103.14","9.46","6.26","-52.65%","1.51%","Jan 29,2026","A","D","A","B","0.59%","NA"
"SGPYY","Sage Group","Business - Software Services","52.23","2.68%","-3.99%","-8.87%","2.58%","2.27%","NA","12,512.42","18.79","NA","25.23%","NA","Jan 29,2026","C","A","A","A","-3.36%","NA"
"SPFI","South Plains Financial","Banks - Southeast","41.66","1.54%","-4.13%","5.34%","12.39%","12.45%","7.14","676.89","10.68","NA","13.37%","NA","Jan 29,2026","B","F","A","C","0.59%","2.28"
"TEL","TE Connectivity","Electronics - Miscellaneous Components","222.78","1.27%","-2.20%","-0.55%","3.56%","5.82%","7.09","65,371.29","20.38","1.7","24.77%","12.02%","Jan 29,2026","C","A","C","A","2.03%","3.61"
"AMKR","Amkor Technology","Electronics - Semiconductors","48.33","0.69%","-4.67%","26.65%","4.43%","3.23%","21.43","11,946.86","30.4","NA","-12.59%","NA","Jan 28,2026","B","D","B","D","-1.88%","1.85"
"BFC","Bank First National","Banks - Northeast","139.54","1.29%","2.05%","13.77%","35.29%","NA","14.29","1,372.38","13.48","NA","39.49%","NA","Jan 28,2026","F","F","A","F","2.00%","5.63"
"BVN","Buenaventura Mining","Mining - Silver","34.26","1.22%","5.53%","38.45%","0.00%","1.76%","60.98","8,692.28","11.57","NA","35.85%","NA","Jan 28,2026","C","B","F","C","-1.23%","6.17"
"BY","Byline Bancorp","Banks - Northeast","31.93","1.25%","0.41%","9.23%","5.70%","4.38%","5.56","1,463.01","10.33","NA","3.00%","NA","Jan 28,2026","C","F","A","F","2.74%","2.31"
"CWBC","Community West Bancshares","Financial - Miscellaneous Services","23.97","2.00%","-0.67%","5.51%","1.05%","9.41%","5.26","459.23","9.36","NA","26.11%","NA","Jan 28,2026","B","C","C","B","1.76%","2.34"
"GE","GE Aerospace","Aerospace - Defense","306.79","0.47%","1.31%","-2.98%","5.95%","6.43%","9.03","321,765.53","41.2","2.83","16.95%","14.55%","Jan 28,2026","F","D","B","F","2.18%","7.02"
"ISTR","Investar Holding Corp.","Banks - Southeast","28.45","1.55%","-0.14%","5.58%","4.25%","5.76%","7.41","279.11","8.92","NA","42.41%","NA","Jan 28,2026","B","F","A","D","1.58%","1.82"
"MNTK","Montauk Renewables","Alternative Energy - Other","1.74","0.00%","1.97%","-7.19%","100.00%","NA","500","247.53","174","NA","-85.71%","NA","Jan 28,2026","B","C","F","C","-6.06%","1.54"
"NGD","New Gold","Mining - Gold","10.03","0.00%","-4.12%","38.92%","14.80%","NA","38.89","7,941.02","7.92","NA","200.00%","NA","Jan 28,2026","C","A","A","A","-3.74%","6.39"
"NTR","Nutrien","Fertilizers","68.89","3.16%","4.45%","15.25%","2.86%","5.70%","4.3","33,204.94","14.56","NA","32.85%","NA","Jan 28,2026","C","F","D","F","-0.66%","1.25"
"RYAAY","Ryanair","Transportation - Airline","70.60","1.00%","-0.61%","-2.35%","1.30%","2.92%","73.33","37,064.68","14.47",".67","56.41%","21.68%","Jan 28,2026","B","D","D","D","2.61%","2.12"
