Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"AIR","AAR","Aerospace - Defense Equipment","83.70","0.00%","14.45%","17.42%","6.36%","13.17%","10.2","3,238.21","19.14","NA","19.95%","NA","Oct 01,2025","C","F","A","D","2.01%","1.13"
"ASCCY","ASICS Corporation Unsponsored ADR","Leisure and Recreation Products","25.97","0.37%","-0.52%","-3.51%","7.50%","17.20%","NA","19,070.83","30.19","NA","50.88%","NA","Oct 01,2025","D","A","A","B","-1.65%","3.85"
"ARLO","Arlo Technologies","Internet - Software","16.96","0.00%","-5.78%","-5.52%","0.00%","0.00%","6.25","1,769.08","27.05","NA","57.50%","NA","Oct 01,2025","F","A","B","C","-1.11%","3.48"
"ALPMY","Astellas Pharma","Medical - Drugs","11.00","3.20%","-3.55%","-1.89%","7.97%","10.79%","NA","NA","12.04","NA","-17.43%","NA","Oct 01,2025","B","C","A","B","0.74%","NA"
"ATRO","Astronics","Aerospace - Defense Equipment","46.43","0.00%","7.29%","24.92%","0.00%","0.00%","15.15","1,614.88","28.51","NA","46.79%","NA","Oct 01,2025","D","B","F","D","3.56%","1.96"
"AVVIY","Aviva","Insurance - Life Insurance","18.81","3.56%","2.79%","9.04%","0.00%","0.00%","NA","28,751.59","12.38","NA","23.58%","NA","Oct 01,2025","B","D","C","C","1.02%","NA"
"BCSF","Bain Capital Specialty Finance","Financial - SBIC & Commercial Industry","14.16","11.79%","-1.79%","-8.65%","0.00%","0.00%","9.3","924.38","7.7","NA","-11.48%","NA","Oct 01,2025","B","D","C","B","0.42%","3.26"
"YOU","CLEAR Secure","Internet - Software","32.58","1.50%","-9.95%","-6.84%","0.00%","0.00%","13.04","4,437.06","30.91","NA","-40.00%","NA","Oct 01,2025","D","B","B","B","-8.32%","5.31"
"CSW","CSW Industrials","Chemical - Specialty","252.00","0.44%","-4.10%","-8.97%","0.00%","0.00%","4.01","4,078.80","23.67","NA","22.00%","NA","Oct 01,2025","F","C","C","D","0.96%","4.45"
"CSV","Carriage Services","Funeral Services","43.99","1.01%","-0.78%","4.60%","0.00%","0.00%","2.78","699.21","13.64",".91","23.40%","15.00%","Oct 01,2025","B","F","F","F","-1.29%","1.72"
"COSO","CoastalSouth Bancshares, Inc.","Banks - Southeast","21.51","0.00%","-5.67%","0.74%","0.00%","0.00%","NA","261.26","9.78","NA","NA","NA","Oct 01,2025","D","F","C","D","-2.94%","NA"
"COLL","Collegium Pharmaceutical","Medical - Drugs","35.23","0.00%","0.26%","-10.65%","0.00%","0.00%","3.7","1,102.26","4.98","NA","8.99%","NA","Oct 01,2025","A","C","C","A","1.21%","1.56"
"BAP","Credicorp","Banks - Foreign","266.07","4.14%","0.27%","2.37%","2.30%","3.71%","8.9","21,178.58","11.17",".72","29.69%","15.49%","Oct 01,2025","B","D","B","B","-0.44%","2.92"
