Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"XYZ","Block","Internet - Software","76.70","0.00%","11.22%","5.44%","5.02%","2.77%","25","45,067.11","19.6",".62","62.87%","31.83%","May 30,2026","C","A","B","B","1.84%","1.84"
"CSW","CSW Industrials","Chemical - Specialty","265.41","0.43%","-0.37%","-3.55%","4.99%","0.00%","29.22","4,520.01","22.13","NA","20.62%","NA","May 30,2026","F","F","A","F","-2.57%","4.18"
"CIVB","Civista Bancshares","Banks - Midwest","25.55","2.78%","1.73%","3.31%","0.00%","0.00%","32.14","538.29","9.12","NA","1.79%","NA","May 30,2026","C","F","F","F","0.50%","2.08"
"GPGI","GPGI INC","Diversified Operations","11.75","0.08%","-2.09%","-22.25%","20.25%","33.33%","35.71","3,524.72","12.8","NA","-4.04%","NA","May 30,2026","F","F","B","F","1.42%","8.79"
"CAPL","CrossAmerica Partners","Oil and Gas - Refining and Marketing - Master Limited Partnerships","22.10","9.71%","-4.72%","1.65%","146.51%","19.72%","181.25","824.48","20.4","NA","3.92%","NA","May 30,2026","B","A","B","A","-2.04%",".23"
"DAVE","DAVE INC","Technology Services","283.79","0.00%","23.68%","3.63%","9.08%","10.34%","27.27","3,592.54","17.48","NA","22.69%","NA","May 30,2026","C","A","A","A","5.11%","5.94"
"DDS","Dillard's","Retail - Regional Department Stores","587.44","0.20%","5.06%","4.37%","8.44%","3.52%","58.34","9,217.35","16.74","NA","6.27%","NA","May 30,2026","C","B","A","B","-3.03%","1.42"
"ESLT","Elbit Systems","Aerospace - Defense Equipment","867.50","0.38%","14.73%","5.98%","3.04%","2.89%","12.5","39,158.96","55.27","3.59","25.02%","15.41%","May 30,2026","F","B","A","D","-1.32%","4.76"
"ECPG","Encore Capital Group","Financial - Consumer Loans","78.96","0.00%","-0.34%","-4.05%","7.43%","3.39%","18.4","1,713.73","6.14","NA","19.25%","NA","May 30,2026","B","D","C","B","-0.45%",".93"
"ELEZY","Endesa S.A. - Unsponsored ADR","Alternative Energy - Other","20.72","1.71%","-0.14%","-6.68%","0.00%","0.00%","NA","43,315.74","14.74","NA","NA","NA","May 30,2026","D","F","B","D","2.41%","NA"
"FOX","Fox","Broadcast Radio and Television","58.82","0.98%","0.26%","0.81%","4.62%","6.71%","29.41","24,114.49","12.06","6.77","-0.42%","1.78%","May 30,2026","C","C","B","C","-3.11%","1.49"
"GDOT","Green Dot","Financial Transaction Services","12.86","0.00%","0.70%","1.98%","12.80%","0.00%","27.27","729.47","7.68","NA","19.15%","NA","May 30,2026","A","F","F","C","-0.54%",".33"
"KEYS","Keysight Technologies","Electronics - Measuring Instruments","329.23","0.00%","-2.37%","-4.00%","5.29%","3.24%","23.18","58,024.44","35.85","1.84","31.84%","19.44%","May 30,2026","F","C","A","D","-0.24%","9.53"
"KHNGY","Kuehne & Nagel International","Transportation - Services","46.49","2.01%","2.70%","-2.43%","0.00%","0.00%","20.45","27,827.71","21.57","3.66","19.55%","5.90%","May 30,2026","C","C","D","C","1.07%",".94"
"LSCC","Lattice Semiconductor","Electronics - Semiconductors","144.23","0.00%","2.70%","21.59%","16.47%","16.09%","13.89","20,151.12","82.54","2.07","69.52%","39.82%","May 30,2026","F","B","D","D","-0.16%","35.11"
"LC","LendingClub","Financial - Miscellaneous Services","18.02","0.00%","14.20%","4.63%","0.00%","0.00%","15.79","2,059.01","10.36","NA","48.28%","NA","May 30,2026","D","F","F","F","4.82%","1.99"
"LFUS","Littelfuse","Electronics - Miscellaneous Components","465.45","0.64%","1.39%","14.69%","14.40%","13.73%","16.96","11,806.63","31.43","2.62","39.14%","12.00%","May 30,2026","D","C","A","C","-1.42%","4.74"
"MTZ","MasTec","Building Products - Heavy Construction","361.26","0.00%","-0.98%","-9.35%","3.49%","7.38%","41.84","29,898.25","42.7","NA","35.27%","NA","May 30,2026","D","D","B","D","-1.29%","1.96"
"MOV","Movado Group","Retail - Jewelry","37.54","3.66%","34.55%","39.45%","9.15%","7.44%","433.33","845.15","22.92","NA","24.63%","NA","May 30,2026","C","B","A","B","7.56%","1.24"
"OXY","Occidental Petroleum","Oil and Gas - Integrated - United States","59.53","1.84%","-3.71%","-3.54%","21.25%","15.86%","63.08","56,326.16","10.29","NA","148.87%","NA","May 30,2026","B","F","A","C","-1.20%","2.38"
"ORN","Orion Group","Building Products - Heavy Construction","13.11","0.00%","-2.06%","-5.56%","0.00%","14.20%","200","556.99","36.86","NA","48.00%","NA","May 30,2026","C","A","D","B","-4.04%",".63"
"PGY","Pagaya Technologies Ltd.","Financial - Miscellaneous Services","15.74","0.00%","18.50%","6.18%","12.15%","3.05%","52.08","1,253.01","4.68","NA","-2.42%","NA","May 30,2026","A","B","B","A","8.31%",".94"
"PENG","Penguin Solutions, Inc.","Internet - Software","60.68","0.00%","4.92%","78.71%","0.00%","0.00%","20.93","2,833.23","25.61","NA","14.74%","NA","May 30,2026","D","D","D","D","3.26%","2.1"
"RNW","ReNew Energy Global","Alternative Energy - Other","6.45","0.00%","7.94%","18.77%","10.00%","25.42%","109.52","2,318.09","29.05","NA","-24.14%","NA","May 30,2026","B","F","C","D","2.40%","1.4"
