Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"AMRK","AMark Precious Metals","Precious Metals and Jewels","28.73","2.79%","8.59%","8.01%","-18.37%","NA","-76.74","707.54","10.25","NA","29.03%","NA","Nov 13,2025","A","C","C","B","5.28%",".06"
"VLVLY","Volvo","Automotive - Original Equipment","29.98","2.28%","5.68%","8.95%","0.00%","0.00%","-25","60,922.22","15.85","8.13","-19.23%","1.95%","Oct 23,2025","C","D","B","D","0.54%","1.25"
"ACMR","ACM Research","Semiconductor Equipment - Material Services","33.20","0.00%","11.26%","-19.42%","-12.50%","-25.00%","-21.88","1,999.74","19.09","NA","-22.57%","NA","Nov 13,2025","F","F","D","F","1.64%","2.27"
"AMCX","AMC Networks","Broadcast Radio and Television","8.89","0.00%","4.33%","17.68%","-13.81%","-52.85%","-41.94","388.26","4.61","NA","-49.74%","NA","Nov 12,2025","A","C","D","B","2.06%",".17"
"ACHC","Acadia Healthcare","Medical - Hospital","17.33","0.00%","13.31%","-20.00%","-7.15%","-19.12%","7.46","1,586.84","7.34","3.67","-29.09%","2.00%","Nov 06,2025","A","D","F","D","0.29%",".49"
"AHCO","AdaptHealth","Medical - Products","9.70","0.00%","0.73%","7.45%","-12.55%","-11.36%","-13.64","1,308.20","13","1.18","-22.92%","11.00%","Oct 15,2025","A","B","A","A","0.52%",".4"
"FENC","Adherex Technologies","Medical - Biomedical and Genetics","7.85","0.00%","3.93%","-0.12%","12.24%","10.09%","75","279.61","NA","NA","NA","NA","Nov 14,2025","F","A","A","B","3.80%","7.21"
"AAVVF","Advantage Oil & Gas","Alternative Energy - Other","9.02","0.00%","3.95%","12.31%","0.00%","0.00%","-100","1,492.46","25.18","NA","260.00%","NA","Oct 30,2025","D","B","A","B","3.11%","3.16"
"ALK","Alaska Air Group","Transportation - Airline","42.60","0.00%","8.42%","2.71%","-16.78%","-14.98%","-5.41","4,971.27","17.79",".83","-50.51%","21.43%","Oct 11,2025","A","D","D","C","0.82%",".35"
"AIN","Albany International","Textile - Products","47.61","2.27%","5.00%","-15.73%","-6.34%","-11.27%","1.43","1,368.42","17.62","2.1","-14.78%","8.40%","Oct 31,2025","B","C","C","B","0.61%","1.19"
"ARE","Alexandria Real Estate Equities","REIT and Equity Trust - Other","53.08","9.84%","5.46%","-7.82%","-2.21%","-14.31%","-3.9","9,275.52","5.96","4.62","-4.86%","1.29%","Nov 07,2025","C","D","D","D","0.19%","3.03"
"BABA","Alibaba","Internet - Commerce","162.26","0.60%","2.86%","-7.70%","0.00%","0.00%","-10.2","375,330.38","23.93","2.13","-27.08%","11.23%","Oct 15,2025","F","F","A","F","-0.19%","2.67"
"ALTG","Alta Equipment Group","Manufacturing - General Industrial ","4.77","0.00%","9.42%","-20.26%","-74.82%","-22.05%","-385.19","157.31","NA","NA","-25.00%","NA","Nov 15,2025","B","A","F","A","0.21%",".09"
"ALVO","Alvotech","Medical - Biomedical and Genetics","4.94","0.00%","-0.78%","-33.33%","-79.08%","-37.72%","-140","1,537.56","83.42","NA","109.09%","NA","Nov 28,2025","F","F","B","F","-0.97%","2.68"
"ANGI","Angi","Internet - Content","11.58","0.00%","4.77%","-13.94%","-14.18%","-39.05%","-30.3","492.78","9.93","NA","64.29%","NA","Nov 08,2025","A","D","B","C","1.06%",".47"
"ATR","AptarGroup","Containers - Paper and Packaging","124.04","1.54%","2.66%","7.53%","-1.74%","-7.62%","3.18","8,185.99","21.6","3.32","2.30%","6.50%","Nov 29,2025","F","B","D","D","0.76%","2.24"
"ARCB","ArcBest","Transportation - Truck","66.57","0.75%","1.53%","-13.66%","-14.10%","-17.85%","6.57","1,444.53","16.98","7.97","-39.81%","2.13%","Oct 07,2025","C","B","A","B","0.03%",".36"
"ARDT","Ardent Health, Inc.","Medical Services","8.94","0.00%","-1.79%","-39.70%","-47.14%","-28.60%","23.81","1,257.19","8.96","7.23","-37.97%","1.24%","Nov 18,2025","A","A","D","A","-2.98%",".2"
"ARKAY","Arkema","Chemical - Diversified ","61.05","4.95%","3.73%","2.99%","-7.94%","-12.80%","21.43","4,651.88","13.35","1.16","-48.60%","11.56%","Jul 05,2025","A","D","A","A","1.93%",".46"
"ARQ","Arq, Inc.","Chemical - Specialty","3.70","0.00%","6.29%","-43.98%","-1,150.00%","-108.33%","-200","158.82","NA","NA","21.43%","NA","Nov 11,2025","D","A","C","B","0.81%","1.35"
