Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"AAUC","Allied Gold Corporation","Mining - Gold","22.43","0.00%","-6.46%","3.91%","17.11%","0.00%","-38.3","2,853.99","3.92","NA","885.71%","NA","Jan 02,2026","B","B","A","A","0.00%","2.66"
"ADI","Analog Devices","Semiconductor - Analog and Mixed","272.35","1.46%","-2.29%","-2.19%","0.52%","0.23%","1.8","132,794.20","27.7","1.5","25.67%","18.50%","Jan 02,2026","F","D","D","F","0.00%","12.05"
"APP","AppLovin","Technology Services","626.36","0.00%","-7.38%","-1.46%","0.31%","0.43%","3.38","227,720.86","44.51","2.23","105.74%","20.00%","Jan 02,2026","F","A","A","C","0.00%","41.25"
"BATRA","Atlanta Braves Holdings, Inc.","Media Conglomerates","42.86","0.00%","-0.38%","-0.07%","0.00%","0.00%","95.83","2,673.61","NA","NA","6.00%","NA","Jan 02,2026","F","F","F","F","0.00%","3.7"
"BATRK","Atlanta Braves Holdings, Inc.","Media Conglomerates","39.51","0.00%","0.15%","2.23%","0.00%","0.00%","95.83","2,036.70","NA","NA","24.00%","NA","Jan 02,2026","D","C","F","F","0.00%","2.82"
"ATMU","Atmus Filtration Technologies Inc.","Automotive - Original Equipment","52.25","0.42%","-2.81%","-1.85%","0.00%","0.00%","13.11","4,231.07","18.58","3.21","5.60%","5.79%","Jan 02,2026","C","C","D","B","0.00%","2.45"
"ATAT","Atour Lifestyle Holdings Limited Sponsored ADR","Leisure and Recreation Services","40.17","0.84%","-6.68%","-7.79%","0.16%","0.00%","6.67","5,444.53","19.09",".81","21.71%","23.47%","Jan 02,2026","C","B","C","B","0.00%","4.31"
"AUGO","Aura Minerals Inc.","Mining - Miscellaneous","49.53","3.81%","-2.62%","21.16%","0.00%","16.75%","-13.4","4,166.16","6.32","NA","-9.73%","NA","Jan 02,2026","D","A","A","B","0.00%","5.4"
"BKNIY","Bankinter","Banks - Foreign","16.84","2.81%","-0.66%","3.56%","0.00%","0.00%","2.94","NA","11.05","NA","19.82%","NA","Jan 02,2026","C","F","F","F","0.00%","NA"
"CWST","Casella Waste Systems","Waste Removal Services","98.61","0.00%","-2.86%","3.41%","1.40%","-0.07%","23.53","6,218.56","79.94","NA","-17.04%","NA","Jan 02,2026","D","B","B","C","0.00%","3.46"
"CDE","Coeur Mining","Mining - Non Ferrous","17.26","0.00%","-4.75%","10.74%","33.24%","0.00%","-8","11,448.76","11.12","NA","322.22%","NA","Jan 02,2026","D","A","A","B","0.00%","6.73"
"DNOW","DNOW INC","Manufacturing - General Industrial ","13.30","0.00%","-3.92%","-7.34%","0.00%","0.00%","8.33","1,391.41","13.8","NA","-10.99%","NA","Jan 02,2026","A","D","C","A","0.00%",".57"
"DAR","Darling Ingredients","Food - Miscellaneous","37.98","0.00%","1.55%","-1.50%","0.00%","0.00%","-7.69","5,694.70","12.33",".39","-75.72%","31.54%","Jan 02,2026","A","C","D","B","0.00%",".97"
"DGII","Digi International","Computer - Networking","42.89","0.00%","-1.95%","-0.96%","0.00%","0.00%","9.8","1,627.24","18.22","NA","13.33%","NA","Jan 02,2026","D","C","B","D","0.00%","3.78"
"LLY","Eli Lilly","Large Cap Pharmaceuticals","1,069.35","0.56%","-0.21%","5.93%","0.75%","2.10%","16.61","1,015,985.06","31.98",".77","83.06%","41.36%","Jan 02,2026","D","B","D","C","0.00%","17.1"
"EFXT","Enerflex Ltd.","Alternative Energy - Other","15.73","0.78%","1.58%","9.28%","15.69%","12.76%","-3.23","1,879.40","13.08","NA","845.45%","NA","Jan 02,2026","A","A","C","A","0.00%",".75"
"EDPFY","Energias de Portugal","Utility - Electric Power","47.13","3.11%","0.09%","1.77%","1.65%","1.65%","NA","NA","12.4","NA","NA","NA","Jan 02,2026","C","F","A","F","0.00%","NA"
"EXAS","Exact Sciences","Medical - Biomedical and Genetics","101.85","0.00%","0.02%","0.43%","0.00%","0.00%","84.62","19,242.71","72.67","2.4","217.39%","30.30%","Jan 02,2026","D","A","D","C","0.00%","6.24"
"FRFHF","Fairfax Financial","Insurance - Property and Casualty","1,903.08","0.79%","1.09%","11.88%","0.00%","0.00%","26.93","41,918.74","9.66","NA","21.82%","NA","Jan 02,2026","B","C","C","A","0.00%","1.34"
"HLMAF","Halma","Security and Safety Services","46.25","0.00%","-1.07%","2.82%","0.67%","3.05%","NA","18,534.29","32.55","NA","25.00%","NA","Jan 02,2026","F","B","C","D","0.00%","NA"
"IRWD","Ironwood Pharmaceuticals","Medical - Drugs","4.43","0.00%","3.37%","-9.65%","0.00%","0.00%","166.67","548.23","7.25","NA","300.00%","NA","Jan 02,2026","A","B","F","B","0.00%","1.62"
"MRKR","MARKER THERAPEUTICS","Medical - Drugs","1.51","0.00%","7.19%","4.93%","32.30%","32.58%","82.61","24.84","NA","NA","19.33%","NA","Jan 02,2026","F","A","D","F","0.00%","5.29"
"MNTN","MNTN Inc.","Technology Services","12.21","0.00%","-0.08%","-11.49%","0.00%","0.00%","100","528.13","12.37","NA","86.13%","NA","Jan 02,2026","C","D","F","F","0.00%","1.94"
"MG","Mistras Group","Electronics - Miscellaneous Products","12.97","0.00%","-3.80%","7.11%","0.00%","0.00%","76.92","399.08","12.84",".8","15.28%","16.00%","Jan 02,2026","B","C","C","A","0.00%",".56"
"MURGY","Mnchener RckversicherungsGesellschaft","Insurance - Multi line","12.69","2.00%","-0.45%","6.03%","3.42%","3.42%","5.88","86,160.43","10.9","1.27","23.66%","8.61%","Jan 02,2026","B","F","C","D","0.00%","1.29"
"NABL","Nable","Technology Services","7.32","0.00%","2.05%","1.22%","0.00%","0.00%","44.44","1,393.74","14.67","NA","-12.50%","NA","Jan 02,2026","C","D","D","D","0.00%","2.8"
"NHYDY","Norsk Hydro ASA","Mining - Miscellaneous","7.97","1.96%","-1.14%","5.57%","-5.00%","-5.00%","25","15,372.86","8.18",".23","19.05%","35.42%","Jan 02,2026","A","F","F","D","0.00%",".74"
"PLTR","Palantir Technologies","Internet - Software","170.57","0.00%","-8.46%","-0.10%","0.00%","0.00%","23.53","423,655.81","170.91","3.42","78.05%","50.03%","Jan 02,2026","F","A","C","D","0.00%","108.74"
"PAAS","Pan American Silver","Mining - Silver","50.41","1.08%","-3.75%","17.22%","3.95%","10.27%","-2.04","21,866.38","14.27",".3","179.75%","47.79%","Jan 02,2026","D","C","A","B","0.00%","6.72"
"PAA","Plains All American Pipeline","Oil and Gas - Production Pipeline - MLB","18.15","8.46%","1.24%","1.07%","0.36%","0.00%","14.71","12,670.74","12.78","NA","0.00%","NA","Jan 02,2026","A","C","D","A","0.00%",".27"
"PGNY","Progyny","Medical Services","25.89","0.00%","0.67%","6.34%","0.00%","0.00%","15.38","2,213.92","13.31",".8","9.76%","16.64%","Jan 02,2026","C","B","C","A","0.00%","1.75"
"RDVT","Red Violet","Internet - Software and Services","53.60","0.00%","1.52%","7.23%","0.00%","0.00%","21.88","802.33","43.81","NA","41.46%","NA","Jan 02,2026","F","A","C","D","0.00%","9.28"
"RNR","RenaissanceRe","Insurance - Property and Casualty","274.87","0.57%","1.01%","4.64%","0.00%","0.00%","64.59","12,964.15","7.62","1.55","-19.66%","4.92%","Jan 02,2026","B","B","D","A","0.00%","1.07"
"SVC","Service Properties Trust","REIT and Equity Trust - Other","1.86","2.17%","6.36%","1.66%","0.00%","0.00%","-4.76","309.28","2.26","NA","-36.45%","NA","Jan 02,2026","A","F","D","C","0.00%",".17"
"SBSW","Sibanye Gold Limited","Mining - Miscellaneous","14.20","0.00%","-5.63%","15.39%","0.00%","0.00%","NA","NA","5.94","NA","1,614.29%","NA","Jan 02,2026","C","B","B","A","0.00%","NA"
"SHC","Sotera Health","Medical Services","17.67","0.00%","-0.34%","6.52%","-0.26%","-0.70%","18.18","5,011.42","18.62","NA","18.57%","NA","Jan 02,2026","D","B","F","D","0.00%","4.36"
"STGW","Stagwell Inc.","Advertising and Marketing","4.71","0.00%","-2.20%","-12.99%","0.00%","0.00%","4.35","1,232.86","4.45","NA","6.49%","NA","Jan 02,2026","A","F","D","D","0.00%",".43"
