Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"FLWS","1-800-FLOWERS.COM","Retail - Mail Order","3.60","0.00%","-23.95%","-20.96%","0.00%","0.00%","-40.68","229.03","NA","NA","24.39%","15.00%","Oct 31,2025","F","F","A","F","3.72%",".14"
"VLVLY","Volvo","Automotive - Original Equipment","27.50","2.49%","0.33%","-5.53%","-9.57%","-6.36%","-25","55,919.93","14.55","7.46","-19.23%","1.95%","Oct 23,2025","C","D","C","D","-0.83%","1.15"
"AMN","AMN Healthcare Services","Medical Services","19.69","0.00%","-2.76%","-0.72%","-0.46%","-5.38%","76.47","754.60","18.23","NA","-67.37%","NA","Oct 28,2025","A","B","A","A","-5.91%",".27"
"ANF","Abercrombie & Fitch","Retail - Apparel and Shoes","72.55","0.00%","3.75%","-15.70%","-0.79%","-2.94%","2.2","3,414.92","7.41","NA","-8.42%","NA","Oct 28,2025","A","B","D","A","-1.43%",".67"
"AKR","Acadia Realty Trust","REIT and Equity Trust - Retail","19.07","4.20%","-3.52%","-5.24%","0.00%","-2.30%","0","2,498.83","14.39","2.77","3.91%","5.19%","Oct 03,2025","F","D","C","F","0.47%","6.26"
"AHCO","AdaptHealth","Medical - Products","8.99","0.00%","-3.03%","-5.19%","-0.39%","-2.46%","-93.33","1,216.33","10.58",".96","-11.46%","11.00%","Oct 15,2025","A","A","D","A","-2.40%",".38"
"AAVVF","Advantage Oil & Gas","Alternative Energy - Other","7.96","0.00%","-5.10%","-5.61%","-30.39%","-6.10%","-100","1,328.83","22.42","NA","260.00%","NA","Oct 30,2025","C","C","C","B","-1.13%","2.81"
"AEHR","Aehr Test Systems","Electronics - Measuring Instruments","25.99","0.00%","0.04%","-22.17%","-383.33%","-46.67%","0","779.87","NA","NA","-213.33%","NA","Oct 10,2025","F","D","F","F","-7.04%","13.73"
"ALK","Alaska Air Group","Transportation - Airline","41.73","0.00%","-12.72%","-16.91%","-22.60%","-10.57%","-5.41","4,811.90","16.32",".76","-47.43%","21.44%","Oct 11,2025","A","D","A","A","-2.56%",".34"
"AIN","Albany International","Textile - Products","56.58","1.91%","-5.89%","6.08%","-6.97%","-7.75%","-21.92","1,669.11","19.58","2.33","-9.12%","8.40%","Oct 31,2025","C","A","D","B","-0.32%","1.41"
