Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"SKFRY","AB SKF","Manufacturing - Tools & Related Products","24.61","3.03%","2.21%","-9.58%","-4.39%","-1.83%","-9.76","10,955.75","13.01","1.59","5.11%","8.18%","Feb 06,2026","C","C","F","C","5.53%","1.17"
"ASX","ASE Technology","Electronics - Semiconductors","22.77","1.21%","0.70%","-2.82%","0.00%","NA","5","48,087.78","28.16",".9","35.09%","31.34%","Jan 10,2026","D","A","C","B","3.78%","2.31"
"ANIOY","Acerinox","Steel - Producers","7.16","3.25%","-2.82%","-3.38%","-10.17%","-2.60%","-283.33","3,401.78","12.87","NA","688.89%","NA","Feb 28,2026","C","D","C","D","-0.27%",".52"
"TIC","Acuren Corporation","Technology Services","6.92","0.00%","-9.99%","-28.32%","-122.84%","-99.47%","-208.33","1,455.19","NA","NA","33.33%","NA","Mar 13,2026","C","D","A","C","-1.50%",".95"
"FENC","Adherex Technologies","Medical - Biomedical and Genetics","6.33","0.00%","2.16%","-23.13%","-52.73%","-17.93%","-466.67","212.02","20.33","NA","207.14%","NA","Mar 26,2026","D","D","F","F","6.59%","4.75"
"AFCG","Advanced Flower Capital Inc.","Financial - SBIC & Commercial Industry","2.81","7.09%","7.63%","27.60%","139.58%","NA","-200","66.35","4.9","NA","48.72%","NA","Mar 06,2026","D","F","A","D","6.82%","2.25"
"AVAV","AeroVironment","Aerospace - Defense Equipment","186.44","0.00%","-6.69%","-19.82%","-10.28%","-15.56%","-5.88","9,140.42","60.48","3.1","-7.62%","19.52%","Mar 05,2026","F","F","F","F","3.44%","5.68"
"AIRYY","Air China","Transportation - Airline","12.03","0.00%","-2.16%","-36.71%","-100.00%","0.00%","NA","10,490.86","NA","NA","100.00%","NA","Mar 28,2026","B","F","D","D","0.00%",".44"
"AIQUY","Air Liquide","Chemical - Diversified ","41.76","1.16%","6.11%","2.34%","-5.04%","-9.09%","NA","120,203.55","28.14","3.25","2.78%","8.65%","Mar 31,2026","F","B","D","D","2.85%","NA"
"EADSY","Airbus SE - Unsponsored ADR","Aerospace - Defense Equipment","48.71","0.87%","-0.74%","-8.09%","-3.47%","-1.83%","7.95","149,109.22","21.25","1.27","18.72%","16.67%","Mar 31,2026","C","A","D","B","4.54%","1.78"
"AKBA","Akebia Therapeutics","Medical - Drugs","1.44","0.00%","2.21%","13.93%","0.00%","0.00%","-66.67","372.35","27.8","NA","350.00%","NA","Feb 27,2026","B","A","C","A","5.30%","1.58"
"AKZOY","AkzoNobel","Chemical - Diversified ","19.63","1.29%","2.63%","-11.68%","0.00%","0.00%","-24.14","9,826.52","11.74","1.29","18.98%","9.11%","Feb 05,2026","B","B","A","A","2.19%",".86"
"BABA","Alibaba","Internet - Commerce","124.52","0.76%","-0.02%","-7.47%","-12.61%","-15.00%","-47.12","299,524.81","23.87","2.76","-41.62%","8.64%","Mar 27,2026","D","D","A","D","2.85%","2.1"
"ALKS","Alkermes","Medical - Biomedical and Genetics","35.54","0.00%","24.51%","21.10%","0.00%","0.00%","6.98","5,878.70","80.36","16.43","-77.32%","4.89%","Mar 11,2026","D","B","B","C","17.28%","3.98"
"AMR","Alpha Metallurgical Resources","Mining - Miscellaneous","200.12","0.00%","-5.83%","18.34%","13.41%","2.01%","0","2,625.95","11.14","NA","488.00%","NA","Feb 28,2026","D","D","A","C","-4.19%","1.23"
"AMBQ","Ambiq Micro, Inc.","Electronics - Semiconductors","26.52","0.00%","0.08%","-13.28%","-27.57%","-47.25%","17.95","540.28","NA","NA","33.59%","NA","Mar 14,2026","F","F","C","F","7.31%","7.45"
"ABTC","American Bitcoin Corp.","Financial - Miscellaneous Services","0.98","0.00%","-2.60%","-10.25%","0.00%","0.00%","-450","857.48","61.63","NA","111.76%","NA","Mar 28,2026","F","F","B","F","NA","5.89"
"CTXAY","Ampol Limited - Unsponsored ADR","Oil and Gas - Refining and Marketing","46.37","3.38%","-2.19%","9.37%","0.00%","0.00%","NA","NA","21.68","NA","NA","NA","Feb 10,2026","D","F","D","F","-0.17%","NA"
"ASYS","Amtech Systems","Semiconductor - General","12.25","0.00%","1.74%","-12.90%","0.00%","0.00%","-57.14","168.27","46.72","NA","400.00%","NA","Feb 11,2026","F","A","D","C","5.23%","2.28"
"ADRZY","Andritz","Industrial Services","13.68","2.80%","-7.75%","-17.59%","-3.15%","-4.83%","NA","7,113.60","11.12","NA","16.04%","NA","Mar 11,2026","B","A","C","A","-7.52%",".8"
"ANGI","Angi","Internet - Content","6.89","0.00%","-4.99%","-16.97%","0.00%","0.00%","-34.62","274.72","8.06","NA","-9.57%","NA","Feb 18,2026","A","A","A","A","3.01%",".27"
"ARI","Apollo Commercial Real Estate Finance","REIT and Equity Trust","10.62","9.47%","0.86%","0.09%","0.00%","0.00%","-3.7","1,474.17","10.78","NA","-6.67%","NA","Feb 20,2026","F","F","A","F","0.19%","5.43"
"ARKAY","Arkema","Chemical - Diversified ","68.78","4.41%","9.50%","5.42%","-17.17%","-31.36%","-5.66","5,223.10","16.75","1.69","-16.50%","9.94%","Mar 07,2026","B","C","F","C","3.87%",".51"
"AAWH","Ascend Wellness Holdings, Inc.","Medical Services","0.44","0.00%","-4.19%","-4.00%","-20.73%","5.75%","-33.33","98.13","NA","NA","34.00%","NA","Mar 18,2026","B","B","A","A","NA",".2"
"CAR","Avis Budget Group","Transportation - Services","163.27","0.00%","24.14%","50.39%","-41.09%","-17.16%","-2151.72","5,142.48","40.02","NA","134.57%","NA","Feb 20,2026","A","D","C","D","7.59%",".44"
"AVA","Avista","Utility - Electric Power","40.57","4.91%","2.63%","0.17%","-3.57%","-3.05%","-12.87","3,301.56","15.65","2.22","0.78%","7.06%","Apr 01,2026","D","D","C","D","-0.79%","1.68"
"ACLS","Axcelis Technologies","Electronics - Manufacturing Machinery","97.93","0.00%","-1.39%","8.38%","0.00%","0.00%","33.04","2,859.31","26.29","8.97","-27.46%","2.93%","Feb 21,2026","F","F","B","F","2.93%","3.41"
"AYTU","Aytu BioPharma, Inc.","Medical - Biomedical and Genetics","2.71","0.00%","3.02%","3.41%","-27.78%","0.00%","-303.85","29.30","NA","NA","-102.94%","NA","Mar 18,2026","C","A","D","B","3.61%",".47"
"TBBB","BBB Foods Inc.","Consumer Products - Staples","34.95","0.00%","1.40%","0.94%","-10.81%","-45.65%","-75","4,039.28","NA","NA","68.22%","31.65%","Mar 24,2026","F","C","C","D","2.97%",".99"
"BCIC","BCP Investment Corporation","Financial - Miscellaneous Services","7.56","17.02%","0.94%","-34.21%","-21.12%","-24.29%","7.69","93.15","4.85","NA","-31.72%","NA","Mar 12,2026","B","C","B","B","1.21%","1.52"
"BWIN","Baldwin Insurance Group, Inc.","Insurance - Life Insurance","22.01","0.00%","-0.68%","-1.57%","-0.10%","-0.55%","6.9","3,134.29","11",".53","19.16%","20.61%","Mar 17,2026","D","D","C","D","-0.32%","2.08"
"BSET","Bassett Furniture Industries","Furniture","14.38","5.65%","-1.94%","-4.78%","-3.50%","0.00%","-23.33","122.46","14.66",".92","29.33%","16.00%","Feb 13,2026","B","C","F","B","-0.42%",".37"
"BAYRY","Bayer","Large Cap Pharmaceuticals","11.61","0.20%","5.32%","4.65%","-12.86%","-11.72%","0","45,116.40","9.59","NA","-13.67%","NA","Mar 07,2026","A","D","F","C","3.42%",".88"
"BMWKY","Bayerische Motoren Werke Aktiengesellschaft - Unsponsored ADR","Automotive - Original Equipment","30.59","NA","NA","NA","-2.75%","3.97%","NA","NA","NA","NA","-9.58%","NA","Mar 06,2026","D","C","NA","NA","NA","NA"
"BTDR","BITDEER TEC GRP","Technology Services","9.29","0.00%","5.10%","14.42%","-3.45%","0.00%","-386.67","1,831.35","NA","NA","41.96%","NA","Mar 17,2026","F","F","D","F","9.77%","2.95"
"BRAG","Bragg Gaming Group Inc.","Gaming","1.84","0.00%","-15.69%","6.83%","-60.00%","NA","NA","43.07","NA","NA","77.78%","NA","Apr 01,2026","A","A","D","A","2.99%",".36"
"BHF","Brighthouse Financial","Insurance - Life Insurance","60.07","0.00%","-0.63%","0.17%","-4.00%","-2.77%","-24.28","3,424.18","3.06","NA","21.84%","NA","Mar 31,2026","D","F","F","F","-0.07%",".51"
"BRSL","Brightstar Lottery","Gaming","12.86","7.22%","-2.15%","-5.14%","-19.42%","38.51%","24.14","2,380.49","15.35","NA","-8.79%","NA","Mar 31,2026","B","F","F","D","2.08%",".95"
"BUR","Burford Capital","Financial - Miscellaneous Services","4.39","2.77%","-41.15%","-47.13%","-223.93%","-26.82%","-145.95","989.42","4.37",".12","-557.14%","37.79%","Mar 03,2026","F","F","C","F","12.16%","2.39"
"CION","CION Investment Corporation","Financial - SBIC & Commercial Industry","6.81","17.54%","-1.30%","-14.93%","-28.97%","NA","-10.26","345.40","6.64","NA","-42.13%","NA","Mar 17,2026","B","D","C","D","0.59%","1.43"
"CWH","Camping World","Automotive - Original Equipment","6.74","7.32%","1.49%","-10.48%","0.00%","0.00%","-15.87","703.40","7.48","NA","378.95%","NA","Feb 28,2026","B","D","C","D","3.80%",".11"
"CADL","Candel Therapeutics","Medical - Biomedical and Genetics","5.00","0.00%","1.87%","-0.20%","-41.73%","-122.54%","-125","358.91","NA","NA","-25.00%","10.28%","Mar 17,2026","F","F","C","F","9.38%","NA"
"CANG","Cango","Financial - Miscellaneous Services","0.40","0.00%","3.34%","-42.56%","-35.62%","0.00%","-492.59","85.31","NA","NA","84.38%","NA","Mar 17,2026","D","F","B","F","NA",".12"
"CARS","Cars.com","Internet - Commerce","8.39","0.00%","-3.56%","-1.46%","0.00%","0.00%","-21.43","476.13","3.63","NA","30.99%","NA","Mar 10,2026","A","C","A","A","1.25%",".66"
"CE","Celanese","Chemical - Specialty","62.68","0.18%","8.17%","28.16%","-2.08%","-2.19%","-24.72","7,206.55","13.96",".49","18.34%","28.56%","Feb 21,2026","C","C","D","C","2.37%",".76"
"CERS","Cerus","Medical - Products","1.90","0.00%","2.82%","-14.55%","-233.33%","-25.00%","0","349.75","NA","NA","37.50%","NA","Mar 13,2026","D","A","F","C","5.20%","1.7"
"CHA","Chagee Holdings Limited - Sponsored ADR","Beverages - Soft drinks","9.36","9.34%","-8.09%","-13.15%","0.00%","0.00%","-63.16","1,708.85","6.17","NA","4.86%","NA","Apr 01,2026","A","A","A","A","-3.12%",".94"
"CRPJY","China Resources Power Holdings","Utility - Electric Power","35.39","3.48%","-0.16%","-0.16%","0.00%","0.00%","NA","12,215.61","6.97","NA","-5.75%","NA","Feb 05,2026","A","D","A","B","-6.86%","NA"
"CCB","Coastal Financial","Banks - West","78.72","0.00%","-0.96%","-1.30%","0.00%","0.00%","-29.31","1,157.40","13.93","NA","75.88%","NA","Feb 04,2026","C","D","B","D","2.52%","1.75"
