Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"BAYRY","Bayer","Large Cap Pharmaceuticals","10.94","0.21%","-0.80%","-1.33%","0.00%","0.00%","0","43,662.30","9.28","NA","-13.67%","NA","Mar 07,2026","A","B","A","A","-0.54%",".85"
"BMWKY","Bayerische Motoren Werke Aktiengesellschaft - Unsponsored ADR","Automotive - Original Equipment","29.55","NA","NA","NA","-0.33%","0.07%","NA","NA","NA","NA","-9.80%","NA","Mar 06,2026","D","D","NA","NA","NA","NA"
"BWMX","Betterware de Mexico SAPI de C","Consumer Products - Discretionary","16.74","6.64%","-1.69%","-0.53%","-1.66%","-4.25%","2.38","628.10","7.1","NA","62.33%","NA","May 02,2026","A","A","B","A","-1.06%",".81"
"BYND","Beyond Meat","Food - Meat Products","0.96","0.00%","8.62%","59.61%","-5.88%","-9.68%","-141.67","439.78","NA","NA","92.17%","NA","Apr 08,2026","F","D","D","F","NA","1.6"
"BTBT","Bit Digital","Technology Services","1.61","0.00%","-3.09%","14.60%","-227.27%","0.00%","-100","512.73","NA","NA","47.83%","NA","Apr 07,2026","F","F","B","F","3.97%","4.51"
"BTDR","BITDEER TEC GRP","Technology Services","12.23","0.00%","-1.82%","26.70%","0.00%","0.00%","-386.67","2,506.72","NA","NA","41.96%","NA","Mar 17,2026","F","F","A","F","4.87%","4.04"
"BSM","Black Stone Minerals","Energy and Pipeline - Master Limited Partnerships","14.21","8.43%","0.35%","-2.80%","-8.22%","-2.62%","14.81","3,023.63","15.31","NA","-39.61%","NA","Apr 22,2026","D","D","B","D","-0.56%","6.43"
"BRDCY","Bridgestone","Automotive - Foreign","10.43","2.11%","0.00%","-2.01%","0.00%","0.00%","2.86","27,374.44","11.53","1","11.25%","11.58%","May 02,2026","A","A","B","A","-1.06%","NA"
"BLDR","Builders FirstSource","Building Products - Retail","74.86","0.00%","-15.90%","-4.30%","-4.37%","-6.82%","-30.77","8,375.33","13.93","2.35","-21.19%","5.94%","May 02,2026","C","C","B","C","-4.26%",".57"
"BUR","Burford Capital","Financial - Miscellaneous Services","5.22","2.40%","6.56%","25.60%","-5.44%","-1.95%","-145.95","1,138.27","NA","NA","-339.29%","37.79%","Mar 03,2026","F","F","F","F","5.69%","2.75"
"CION","CION Investment Corporation","Financial - SBIC & Commercial Industry","7.95","15.04%","6.68%","16.84%","0.00%","0.00%","-10.26","402.96","7.75","NA","-42.13%","NA","Mar 17,2026","B","D","D","D","2.84%","1.67"
"CDZI","Cadiz","Utility - Water Supply","4.46","0.00%","-7.42%","-11.36%","-58.00%","-400.00%","-11.11","364.56","NA","NA","16.67%","NA","Apr 07,2026","F","D","B","F","0.92%","22.35"
"CADL","Candel Therapeutics","Medical - Biomedical and Genetics","7.06","0.00%","-0.46%","29.40%","-4.44%","0.00%","-125","474.06","NA","NA","-30.56%","10.28%","Mar 17,2026","F","F","C","F","4.69%","NA"
"CCEC","Capital Clean Energy Carriers Corp.","Transportation - Shipping","20.71","2.91%","4.01%","9.89%","0.00%","0.00%","23.08","1,203.07","9.5","NA","13.02%","NA","May 01,2026","C","C","B","C","1.70%","2.92"
"CCL","Carnival","Leisure and Recreation Services","25.92","2.25%","-1.88%","3.98%","-1.75%","0.00%","11.11","33,031.75","11.9","1.17","-0.44%","10.19%","May 02,2026","A","D","C","C","0.57%","1.22"
"CCS","Century Communities","Building Products - Home Builders","53.88","2.30%","-7.12%","-2.53%","-17.24%","-45.84%","44.26","1,598.14","14.47","NA","-35.89%","NA","Apr 25,2026","B","D","A","C","-0.84%",".4"
"CHA","Chagee Holdings Limited - Sponsored ADR","Beverages - Soft drinks","11.25","7.94%","2.05%","8.62%","4.86%","-10.92%","-63.16","2,011.71","7.26","NA","4.86%","NA","Apr 23,2026","B","B","F","B","-1.26%","1.11"
"GTLS","Chart Industries","Manufacturing - General Industrial ","207.76","0.00%","-0.01%","0.35%","-15.01%","-16.27%","-27.87","9,947.43","18.38",".96","16.36%","19.19%","Apr 28,2026","D","B","F","C","-0.04%","2.33"
"CWCO","Consolidated Water","Utility - Water Supply","32.48","1.74%","-4.72%","-5.47%","0.00%","0.00%","41.67","514.09","30.03","NA","-7.76%","NA","Apr 01,2026","D","D","B","F","0.25%","3.89"
"CNSWF","Constellation Software","Internet - Software","1,869.84","0.22%","1.75%","2.56%","0.00%","0.00%","-15.62","38,248.38","15.45","NA","50.00%","NA","May 02,2026","D","B","A","B","-1.04%","3.29"
"CPS","CooperStandard","Automotive - Original Equipment","29.46","0.00%","-4.88%","6.84%","-16.82%","-6.37%","-82.11","543.67","11.26","NA","257.23%","NA","Apr 28,2026","A","A","B","A","1.83%",".2"
"CNR","Core Natural Resources, Inc.","Coal","87.83","0.46%","1.42%","-16.53%","-19.05%","-24.77%","-97.44","4,416.30","51.19","NA","157.05%","NA","May 02,2026","C","C","F","C","-3.03%","1.06"
"CRD.B","Crawford & Company","Building Products - Miscellaneous","9.80","3.13%","-3.42%","-5.33%","0.00%","0.00%","-34.78","467.26","9.6","NA","9.89%","NA","Mar 10,2026","A","A","A","A","-4.29%",".36"
"COIHY","Croda International","Chemical - Specialty","19.32","3.65%","-2.58%","1.34%","-6.25%","-3.97%","NA","5,382.95","18.36","NA","9.38%","NA","May 02,2026","D","C","D","C","-0.70%","NA"
"DAIO","Data IO","Electronics - Miscellaneous Components","2.84","0.00%","0.73%","21.05%","0.00%","0.00%","-200","25.93","NA","NA","22.64%","NA","Mar 12,2026","F","F","D","F","1.85%","1.21"
"PLAY","Dave & Buster's Entertainment","Retail - Restaurants","11.52","0.00%","-5.68%","-5.83%","-476.56%","-402.38%","-189.74","404.02","NA","NA","-166.67%","NA","Apr 03,2026","A","C","D","C","3.19%",".19"
"DKL","Delek Logistics Partners","Oil and Gas - Production Pipeline - MLB","52.53","8.34%","7.02%","7.30%","-6.54%","-4.95%","-30.23","2,885.27","13.98",".63","16.97%","22.24%","Apr 03,2026","C","B","B","B","1.54%","2.72"
"DORM","Dorman Products","Automotive - Replacement Parts","111.69","0.00%","1.52%","11.87%","-0.61%","-1.19%",".93","3,405.66","13.77","NA","-7.55%","NA","May 01,2026","C","D","D","D","0.33%","1.6"
"DKNG","DraftKings","Gaming","23.67","0.00%","-0.78%","-0.69%","-1.53%","-0.56%","-28","11,402.08","20.35",".53","71.21%","38.44%","Feb 20,2026","C","A","D","A","-1.37%","1.88"
"DFLI","DRAGONFLY EGY","Electronics - Miscellaneous Products","2.02","0.00%","1.46%","11.83%","0.00%","0.00%","-471.25","25.27","NA","NA","85.75%","NA","Mar 19,2026","F","A","D","D","3.48%",".43"
"DFH","Dream Finders Homes","Building Products - Home Builders","14.55","0.00%","0.33%","8.46%","-13.59%","-18.72%","-57.69","1,401.01","9.6","4.7","-25.70%","2.04%","Apr 30,2026","B","C","F","B","4.52%",".33"
"DUOT","Duos Technologies Group, Inc.","Technology Services","9.17","0.00%","6.11%","33.58%","-66.67%","NA","-1400","266.77","225.75","NA","106.25%","NA","Apr 23,2026","F","A","F","D","2.61%","9.87"
"EUDA","EUDA Health Holdings Limited","Medical Info Systems","15.83","0.00%","43.88%","62.55%","0.00%","NA","NA","38.44","9.55","NA","208.11%","NA","Mar 24,2026","D","A","D","B","5.16%","NA"
"EGO","Eldorado Gold","Mining - Gold","28.86","1.00%","-6.89%","-16.61%","-9.87%","-6.33%","37.68","5,930.51","6.84",".17","149.14%","39.67%","May 02,2026","B","A","A","A","-3.96%","2.97"
"ELUXY","Electrolux","Household Appliances","11.15","0.00%","11.61%","-16.56%","-105.56%","-9.09%","-174.51","1,578.16","NA","NA","-110.77%","37.71%","Apr 25,2026","B","B","F","B","0.22%",".12"
"ETD","Ethan Allen Interiors Inc.","Retail - Home Furnishings","20.34","7.49%","-7.18%","-6.47%","-5.45%","-8.57%","14.29","529.79","14.11","NA","-27.45%","NA","May 01,2026","C","F","C","D","-2.44%",".89"
"EPRX","Eupraxia Pharmaceuticals Inc.","Medical - Biomedical and Genetics","7.92","0.00%","10.20%","10.04%","-3.02%","-4.65%","-131.25","476.83","NA","NA","29.13%","NA","Apr 02,2026","D","D","F","F","1.15%","NA"
"EFOR","Everforth Inc.","Technology Services","21.49","0.00%","11.65%","-45.76%","-32.60%","-24.35%","-29.59","874.21","6.25","NA","-25.49%","NA","Apr 25,2026","A","C","D","B","0.38%",".22"
"EE","Excelerate Energy","Alternative Energy - Other","34.82","0.93%","2.10%","5.25%","-5.31%","-0.71%","-3.33","3,931.89","20.74","1.15","29.69%","18.11%","Apr 28,2026","C","D","D","D","-1.23%","3.2"
"EXOD","Exodus Movement, Inc.","Internet - Software","8.45","0.00%","-2.44%","31.15%","0.00%","NA","-18300","238.49","NA","NA","43.59%","NA","Mar 14,2026","F","F","B","F","5.40%","1.96"
"FSK","FS KKR Capital Corp.","Financial - SBIC & Commercial Industry","11.64","15.58%","9.79%","9.90%","0.00%","0.00%","-5.45","3,234.77","6.78","NA","-27.35%","NA","Mar 03,2026","B","C","D","C","2.67%","2.13"
"FRBA","FIRST BANK","Banks - Southwest","14.95","2.41%","-9.74%","-7.79%","-9.77%","-13.20%","-36.17","374.43","8.5","NA","1.15%","NA","May 02,2026","C","F","C","D","0.54%","1.52"
"FSUN","FirstSun Capital Bancorp","Banks - Midwest","35.65","0.00%","-6.02%","-2.04%","-15.06%","-6.97%","-6.67","1,003.28","10.44","NA","-3.37%","NA","May 02,2026","B","F","F","D","1.61%","1.73"
"FTLF","FitLife Brands ","Medical - Products","9.77","0.00%","-1.07%","-12.53%","-46.91%","-34.62%","0","87.15","10.79","NA","-8.51%","NA","Apr 08,2026","B","C","D","C","0.32%","1.07"
"FSI","Flexible Solutions International","Chemical - Specialty","6.30","0.00%","-1.98%","21.24%","-36.00%","-27.27%","-180","82.16","20.16","NA","433.33%","NA","Apr 25,2026","D","F","A","F","4.03%","2.13"
"FLNC","Fluence Energy","Alternative Energy - Other","12.24","0.00%","-8.89%","-8.35%","3.94%","-41.78%","-88.89","2,242.17","NA","NA","40.54%","NA","May 01,2026","F","F","A","D","0.08%",".88"
"FWRD","Forward Air","Transportation - Truck","17.14","0.00%","-9.00%","22.52%","-3.26%","-3.31%","-7.69","692.13","NA","NA","82.73%","NA","Feb 24,2026","D","F","A","D","1.28%",".28"
"GIII","GIII Apparel Group","Textile - Apparel","31.41","1.27%","0.57%","12.64%","0.00%","0.00%","-47.37","1,330.65","15.24","NA","-20.69%","NA","Mar 18,2026","A","B","D","A","1.12%",".45"
"GBFH","GBank Financial Holdings Inc.","Banks - Southwest","29.97","0.00%","5.69%","11.61%","-15.60%","-6.00%","-38","443.66","14.53","NA","27.11%","NA","May 01,2026","D","C","F","D","4.11%","3.9"
"GNNDY","GN Store Nord","Medical - Products","46.90","0.00%","1.96%","0.95%","0.00%","0.00%","NA","2,359.27","11.58","NA","98.53%","NA","May 01,2026","A","B","D","B","4.18%",".93"
"GAME","GameSquare Holdings, Inc.","Gaming","0.51","0.00%","-16.68%","96.06%","-100.00%","NA","0","47.63","NA","NA","52.38%","NA","Apr 11,2026","F","A","B","B","NA",".71"
"GIS","General Mills","Food - Miscellaneous","34.61","7.03%","-0.71%","-7.22%","0.00%","0.00%","-13.51","18,529.41","10.11","NA","-18.29%","NA","May 02,2026","B","F","A","C","-1.67%","1.01"
"GETY","Getty Images Holdings, Inc.","Internet - Software","0.81","0.00%","-8.50%","3.83%","0.00%","0.00%","-540","341.23","NA","NA","96.00%","NA","Mar 21,2026","B","D","A","B","NA",".35"
"GPK","Graphic Packaging Holding Company","Containers - Paper and Packaging","9.78","4.54%","3.74%","0.21%","-6.03%","-3.65%","-14.71","2,870.08","11.52","NA","-53.33%","NA","Jan 15,2026","A","B","D","B","1.78%",".33"
"GECC","Great Elm Capital Group","Financial - Investment Management","5.66","21.58%","0.18%","11.20%","0.00%","0.00%","-3.13","77.24","5.98","NA","-34.51%","NA","Mar 06,2026","B","A","C","A","1.28%","1.55"
"GBX","The Greenbrier Companies","Transportation - Equipment and Leasing","49.04","2.72%","1.52%","-5.12%","-27.27%","-13.64%","-52.04","1,548.17","15.64","NA","-51.44%","NA","Apr 10,2026","A","B","D","B","1.87%",".53"
"SUPV","Grupo Supervielle","Banks - Foreign","8.03","2.37%","-12.14%","-16.24%","0.00%","-0.26%","-45.45","690.74","13.22","NA","233.33%","NA","Feb 07,2026","C","F","A","C","-4.13%",".47"
"GYRE","Gyre Therapeutics, Inc.","Medical - Biomedical and Genetics","7.94","0.00%","4.84%","9.55%","0.00%","0.00%","-50","756.55","NA","NA","-220.00%","NA","Mar 17,2026","F","D","F","F","1.56%","6.49"
"HMY","Harmony Gold","Mining - Gold","15.69","3.27%","-6.92%","-3.04%","3.40%","NA","NA","9,940.43","5.7","NA","115.75%","NA","May 02,2026","B","A","A","A","-1.01%","NA"
"HMR","Heidmar Maritime Holdings Corp.","Transportation - Shipping","0.78","0.00%","-1.83%","-1.77%","0.00%","0.00%","-220","46.98","6.19","NA","NA","NA","Mar 26,2026","B","A","A","A","NA",".84"
"HRI","Herc Holdings","Transportation - Equipment and Leasing","127.90","2.10%","8.72%","46.23%","-28.22%","-18.72%","120.59","4,445.62","27.62","26.56","-36.66%","1.04%","Apr 15,2026","C","C","A","B","4.89%",".96"
"HRTX","Heron Therapeutics","Medical - Drugs","1.24","0.00%","6.72%","58.91%","-22.22%","-14.29%","33.33","239.57","NA","NA","14.29%","NA","Apr 28,2026","D","F","D","F","5.83%","1.55"
"HPK","HighPeak Energy","Oil and Gas - Exploration and Production - United States","6.87","0.00%","7.54%","-2.90%","42.16%","11.11%","-425","846.60","NA","NA","-225.00%","11.68%","Apr 25,2026","B","F","B","D","-1.18%","1.04"
"HRZN","Horizon Technology Finance","Financial - SBIC & Commercial Industry","4.23","17.06%","8.76%","-1.40%","0.00%","0.00%","-40","201.74","5.41","NA","-25.71%","NA","Mar 06,2026","A","D","A","B","0.72%","2.1"
"HHH","HOWARD HUGH HLD","Real Estate - Development","62.26","0.00%","-2.73%","-0.78%","-25.86%","-28.81%","-67.74","3,715.81","20.7","NA","36.20%","NA","Apr 25,2026","C","B","A","B","0.08%","2.52"
"HYPD","Hyperion DeFi, Inc.","Medical - Biomedical and Genetics","4.61","0.00%","0.24%","28.61%","0.00%","0.00%","NA","47.62","1.45","NA","130.74%","NA","Mar 31,2026","F","B","B","D","3.59%","699.32"
"HY","Hyster-Yale, Inc.","Manufacturing - Construction and Mining","39.55","3.63%","-1.42%","22.33%","0.00%","0.00%","-71.67","710.10","NA","NA","-64.25%","NA","Mar 07,2026","B","A","A","A","0.51%",".19"
"IMCR","Immunocore","Medical - Biomedical and Genetics","28.22","0.00%","-3.89%","-8.66%","0.00%","0.00%","-114.29","1,427.57","NA","NA","-36.62%","NA","Apr 28,2026","D","F","A","F","0.90%","3.57"
