Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"ADT","ADT","Security and Safety Services","8.00","2.75%","-1.70%","0.12%","0.00%","0.00%","4.55","6,558.10","9.2","NA","14.67%","NA","Jan 10,2026","A","C","B","A","1.64%","1.28"
"APA","APA","Oil and Gas - Exploration and Production - United States","26.41","3.79%","2.78%","7.36%","-21.26%","-12.89%","25.68","9,366.81","14.21","13.53","-11.94%","1.05%","Jan 21,2026","B","A","D","A","0.96%",".96"
"ASX","ASE Technology","Electronics - Semiconductors","18.98","1.38%","3.78%","22.86%","-5.75%","NA","NA","42,098.99","23.15",".76","28.89%","30.48%","Jan 10,2026","C","B","F","C","-2.37%","2.1"
"ASCCY","ASICS Corporation Unsponsored ADR","Leisure and Recreation Products","24.02","0.40%","-4.71%","2.38%","0.00%","0.00%","NA","17,638.59","23.32","NA","45.61%","NA","Jan 06,2026","F","A","B","B","0.16%","3.38"
"ASTS","AST SpaceMobile","Wireless Equipment","111.21","0.00%","4.92%","68.10%","-21.04%","-194.78%","-150","40,816.22","NA","NA","-62.12%","30.94%","Jan 23,2026","F","F","C","F","0.71%","2202.59"
"ACHC","Acadia Healthcare","Medical - Hospital","13.44","0.00%","-13.86%","-8.03%","-7.82%","-10.26%","7.46","1,239.95","7.65","3.82","-40.61%","2.00%","Nov 06,2025","A","D","B","C","-2.90%",".38"
"ACH","Accendra Health, Inc.","Medical - Products","2.21","0.00%","-1.42%","-25.71%","-6.25%","0.00%","8.7","170.94","2.33","NA","-34.64%","NA","Jan 10,2026","B","C","F","D","-1.89%",".03"
"AFYA","Afya","Schools","15.04","1.54%","4.47%","-2.92%","-4.30%","-2.43%","18.75","1,409.59","8.45",".48","2.42%","17.56%","Jan 10,2026","A","A","F","A","-0.33%","2.21"
"BABA","Alibaba","Internet - Commerce","169.56","0.56%","-1.65%","18.88%","-6.31%","-6.49%","-7.58","404,808.88","28.38","3.28","-33.63%","8.64%","Oct 15,2025","F","F","D","F","-0.80%","2.88"
"ARLP","Alliance Resource Partners","Coal","23.82","10.08%","-3.31%","4.48%","0.00%","0.00%","4.48","3,059.16","9.2","NA","-19.93%","NA","Jan 06,2026","B","B","C","A","-0.16%","1.36"
"AMTB","Amerant Bancorp","Banks - Southeast","21.70","1.66%","-2.16%","11.38%","-11.09%","-5.80%","23.26","895.46","10.61","NA","18.50%","NA","Jan 28,2026","D","F","F","F","4.07%","1.32"
"APOG","Apogee Enterprises","Glass Products","37.13","2.80%","-5.44%","2.95%","-4.20%","-8.16%","-.97","798.67","10.5","NA","-28.77%","NA","Jan 21,2026","B","D","D","C","-1.51%",".57"
"APRE","Aprea Therapeutics","Medical - Biomedical and Genetics","0.80","0.00%","-29.92%","-30.83%","13.07%","28.24%","-327.27","5.57","NA","NA","42.98%","NA","Jan 17,2026","F","C","A","D","NA","11.38"
"ABR","Arbor Realty Trust","REIT and Equity Trust","7.70","15.58%","-1.00%","1.55%","0.00%","0.00%","25","1,506.97","7.75","NA","-37.93%","NA","Jan 13,2026","B","C","B","B","1.81%","1.56"
"AETUF","Arc Resources","Oil and Gas - Exploration and Production - Canadian","18.59","3.29%","2.99%","-0.42%","-18.75%","-22.76%","-34.15","10,621.78","17.88","1.74","16.06%","10.26%","Dec 20,2025","C","C","D","D","0.02%","2.79"
"ARKAY","Arkema","Chemical - Diversified ","60.34","5.02%","2.06%","1.65%","-7.48%","-7.48%","21.43","4,589.13","12.19","1.23","-47.81%","9.94%","Jan 20,2026","A","D","F","C","1.52%",".45"
"AAWH","Ascend Wellness Holdings, Inc.","Medical Services","0.60","0.00%","-10.58%","-21.09%","0.61%","0.00%","-30","122.67","NA","NA","-5.00%","NA","Jan 31,2026","B","D","A","B","NA",".24"
"ASTH","Astrana Health, Inc.","Medical - Outpatient and Home Healthcare","22.74","0.00%","-18.80%","-9.67%","-16.48%","0.00%","-97.87","1,280.00","22.82",".68","-45.56%","33.66%","Jan 30,2026","B","A","C","A","1.86%",".44"
"AYTU","Aytu BioPharma","Medical - Biomedical and Genetics","2.60","0.00%","-4.80%","-0.77%","0.00%","0.00%","-33.33","26.49","NA","NA","-58.82%","NA","Jan 31,2026","D","C","C","D","-1.53%",".42"
"BMRRY","B&M European Value Retail","Consumer Products - Discretionary","9.62","2.53%","4.38%","8.31%","-4.29%","-10.25%","NA","2,417.10","9.57","NA","-40.94%","NA","Jan 24,2026","A","A","F","A","1.39%","NA"
