Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"KEYS","Keysight Technologies","Electronics - Measuring Instruments","352.40","0.00%","1.57%","21.00%","0.45%","0.96%","9.05","60,439.20","39.32","2.25","25.14%","17.45%","Apr 28,2026","F","C","C","F","0.71%","10.63"
"KOPN","Kopin","Electronics - Miscellaneous Products","4.79","0.00%","16.22%","64.12%","33.33%","0.00%","NA","788.46","NA","NA","-300.00%","NA","Apr 28,2026","F","D","C","F","-3.59%","20.05"
"LC","LendingClub","Financial - Miscellaneous Services","17.07","0.00%","-2.35%","19.13%","5.08%","2.33%","15.79","1,970.39","9.9","NA","48.28%","NA","Apr 28,2026","D","F","A","F","-0.06%","1.91"
"MPC","Marathon Petroleum","Oil and Gas - Refining and Marketing","250.18","1.63%","9.82%","1.83%","53.21%","51.02%","49.08","72,490.40","9.36",".36","145.79%","25.74%","Apr 28,2026","A","A","B","A","-0.86%",".54"
"MEOH","Methanex","Chemical - Diversified ","64.33","1.15%","7.75%","7.33%","62.84%","17.48%","-36.17","4,970.65","10.78","NA","193.60%","NA","Apr 28,2026","A","D","F","C","-1.97%","1.36"
"PSX","Phillips 66","Oil and Gas - Refining and Marketing","177.54","2.88%","8.19%","-0.01%","17.87%","13.91%","189.09","70,640.73","10.52",".27","160.25%","38.56%","Apr 28,2026","B","C","B","B","-1.65%",".51"
"RBB","RBB Bancorp","Banks - West","24.41","2.64%","2.58%","11.86%","13.64%","5.25%","46.67","413.88","10.31","NA","28.42%","NA","Apr 28,2026","C","F","A","D","0.50%","1.69"
"RNGR","Ranger Energy Services","Oil and Gas - Field Services","17.28","1.40%","-6.39%","1.78%","21.64%","17.10%","-66.67","403.89","10.52","NA","191.07%","NA","Apr 28,2026","A","C","A","A","-1.78%",".71"
"SLM","SLM","Financial - Consumer Loans","22.91","2.29%","-4.78%","4.85%","13.55%","2.99%","35.09","4,279.17","7.22","2.08","-9.25%","3.47%","Apr 28,2026","D","F","C","F","-1.69%","1.51"
"ASMVY","ASMPT LTD. - Unsponsored ADR","Financial - Miscellaneous Services","64.34","0.00%","0.05%","64.61%","34.96%","20.98%","NA","8,849.79","38.28","NA","NA","NA","Apr 25,2026","F","F","C","F","0.03%","NA"
"CTXAY","Ampol Limited - Unsponsored ADR","Oil and Gas - Refining and Marketing","50.91","2.92%","8.77%","11.70%","153.05%","17.71%","NA","NA","9.55","NA","NA","NA","Apr 25,2026","D","C","B","C","1.90%","NA"
"ALPMY","Astellas Pharma","Medical - Drugs","14.08","2.43%","-9.46%","-15.23%","0.00%","0.00%","NA","25,280.99","10.83","NA","-17.83%","NA","Apr 25,2026","B","D","B","B","-2.31%","1.78"
"CF","CF Industries","Fertilizers","124.15","1.63%","1.46%","-5.60%","41.96%","43.33%","19.6","18,847.20","9.89","NA","32.44%","NA","Apr 25,2026","B","C","D","C","-1.22%","2.66"
"CIVB","Civista Bancshares","Banks - Midwest","25.08","2.87%","0.52%","9.00%","9.23%","1.89%","32.14","618.20","8.83","NA","1.79%","NA","Apr 25,2026","C","F","A","D","0.80%","2.39"
"DCBO","Docebo","Internet - Software","21.28","0.00%","13.32%","20.67%","13.66%","16.33%","36.36","531.13","12.27","NA","22.46%","NA","Apr 25,2026","C","B","C","B","7.99%","2.19"
"FSRL","First Reliance Bancshares","Banks - Southeast","16.81","0.00%","8.80%","9.27%","23.08%","27.34%","30","120.66","9.55","NA","40.35%","NA","Apr 25,2026","D","D","B","D","0.45%","1.7"
"FET","Forum Energy Technologies","Oil and Gas - Mechanical and and Equipment","59.76","0.00%","-5.15%","-0.41%","0.00%","0.00%","6.82","665.45","29.08","3.63","220.63%","8.00%","Apr 25,2026","C","A","C","A","-6.57%",".82"
"GRC","GormanRupp","Manufacturing - General Industrial ","77.04","1.00%","-0.82%","21.84%","12.07%","12.35%","38.78","2,011.14","29.29","2.25","21.50%","13.00%","Apr 25,2026","F","B","B","C","0.54%","2.89"
"TXN","Texas Instruments","Semiconductor - General","280.17","2.02%","1.40%","44.21%","19.13%","13.22%","22.63","255,754.27","36.96","1.42","39.45%","26.00%","Apr 25,2026","F","C","C","D","-0.02%","13.87"
"VFC","V.F. Corporation","Textile - Apparel","18.58","1.89%","-3.94%","12.69%","4.68%","3.36%","34.88","7,437.92","16.64",".95","12.16%","17.52%","Apr 25,2026","B","B","B","A","0.42%",".78"
"KALU","Kaiser Aluminum","Metal Products - Procurement and Fabrication","168.80","1.77%","-2.33%","31.99%","7.09%","3.37%","97.88","2,838.69","22.13","NA","30.18%","NA","Apr 24,2026","C","B","B","A","1.93%",".77"
"MCRI","Monarch Casino & Resort","Gaming","117.33","1.02%","2.30%","21.66%","9.00%","11.73%","32.17","2,086.59","18.15","NA","19.34%","NA","Apr 24,2026","C","B","C","B","-0.90%","3.75"
"DSCSY","DISCO CORP","Manufacturing - Material Handling","47.09","0.21%","1.71%","14.79%","0.00%","0.00%","25","50,431.44","43.45","NA","27.38%","NA","Apr 23,2026","F","B","D","F","-3.37%","17.45"
"FN","Fabrinet","Electronics - Miscellaneous Components","722.42","0.00%","-1.90%","26.63%","0.49%","4.95%","3.07","25,312.23","51.7","NA","34.41%","NA","Apr 23,2026","F","D","C","F","3.37%","6.5"
"NTRS","Northern Trust","Banks - Major Regional","161.29","1.95%","0.29%","15.63%","5.36%","5.35%","14.35","30,481.58","15.48","1.18","17.98%","13.07%","Apr 23,2026","F","C","B","D","-1.12%","2.09"
