Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"ACMR","ACM Research","Semiconductor Equipment - Material Services","43.51","0.00%","-1.62%","13.95%","0.00%","0.00%","-23.4","2,361.27","26.3","NA","-22.57%","NA","Nov 13,2025","F","F","D","F","0.00%","2.68"
"ADT","ADT","Security and Safety Services","8.04","2.73%","-0.12%","-0.49%","-6.45%","-9.80%","4.55","6,615.48","9.28","NA","14.67%","NA","Jan 01,2026","A","B","F","B","0.00%","1.29"
"AMCX","AMC Networks","Broadcast Radio and Television","9.34","0.00%","-1.65%","4.73%","48.63%","333.85%","-41.94","414.38","5.28","NA","-46.63%","NA","Nov 12,2025","A","C","A","A","0.00%",".18"
"ASX","ASE Technology","Electronics - Semiconductors","16.83","1.62%","3.54%","6.20%","-10.31%","-10.31%","NA","35,710.95","18.51",".66","35.56%","28.19%","Jan 02,2026","C","B","F","C","0.00%","1.78"
"ACHC","Acadia Healthcare","Medical - Hospital","14.35","0.00%","-0.77%","-3.07%","-11.59%","-11.54%","7.46","1,309.14","7.44","3.72","-38.48%","2.00%","Nov 06,2025","A","D","D","C","0.00%",".4"
"ADRNY","Ahold","Consumer Products - Staples","40.97","2.28%","0.22%","1.04%","0.00%","0.33%","NA","36,864.66","13.15","1.84","10.18%","7.15%","Jan 02,2026","B","A","C","A","0.00%",".36"
"AL","Air Lease","Transportation - Equipment and Leasing","64.16","1.37%","0.05%","0.44%","0.00%","0.00%","-19.38","7,178.67","9.05",".52","15.01%","17.32%","Jan 02,2026","B","D","C","D","0.00%","2.47"
"AIN","Albany International","Textile - Products","52.39","2.21%","-0.98%","4.26%","0.00%","0.00%","1.43","1,455.09","16.94","2.02","-14.78%","8.40%","Oct 31,2025","C","C","D","D","0.00%","1.27"
"ARE","Alexandria Real Estate Equities","REIT and Equity Trust - Other","49.38","5.88%","0.37%","5.04%","-9.07%","-15.09%","-3.9","8,458.06","7.59","5.88","-4.96%","1.29%","Nov 07,2025","C","D","F","D","0.00%","2.76"
"BABA","Alibaba","Internet - Commerce","156.17","0.65%","-2.32%","-6.90%","-1.50%","-0.67%","-7.58","349,757.41","22.82","2.03","-28.75%","11.23%","Oct 15,2025","F","F","F","F","0.00%","2.49"
"ALTG","Alta Equipment Group","Manufacturing - General Industrial ","5.00","0.00%","-2.13%","-6.88%","0.00%","0.00%","-385.19","148.28","NA","NA","-25.00%","NA","Nov 15,2025","B","A","B","A","0.00%",".08"
"APEMY","Aperam","Steel - Producers","41.90","4.71%","4.74%","7.92%","9.61%","13.13%","NA","3,066.07","16.69","NA","-93.75%","NA","Jan 02,2026","B","D","B","C","0.00%",".45"
"AETUF","Arc Resources","Oil and Gas - Exploration and Production - Canadian","18.67","3.20%","0.92%","0.12%","-21.47%","7.59%","-34.15","10,772.14","14.7","1.01","18.25%","14.61%","Dec 20,2025","C","D","F","D","0.00%","2.83"
"ARCB","ArcBest","Transportation - Truck","76.49","0.65%","-3.49%","6.67%","-4.16%","-11.36%","6.57","1,670.09","13.91","8.58","-40.13%","1.62%","Oct 07,2025","C","B","F","C","0.00%",".41"
"ARDT","Ardent Health, Inc.","Medical Services","8.66","0.00%","-1.56%","-0.45%","0.00%","0.00%","23.81","1,264.35","6.1","4.92","-37.97%","1.24%","Nov 18,2025","A","A","B","A","0.00%",".2"
"ARKAY","Arkema","Chemical - Diversified ","61.12","4.96%","1.80%","3.28%","0.00%","0.00%","21.43","4,642.75","11.41",".99","-48.60%","11.56%","Jan 02,2026","A","D","C","C","0.00%",".46"
"ARQ","Arq, Inc.","Chemical - Specialty","3.38","0.00%","-4.11%","-14.84%","0.00%","0.00%","-200","139.61","NA","NA","21.43%","NA","Nov 11,2025","D","A","B","A","0.00%","1.18"
"ARTNA","Artesian Resources","Utility - Water Supply","31.53","3.97%","-0.78%","1.74%","0.00%","0.00%","3.03","326.00","15.81","NA","10.10%","NA","Jan 02,2026","D","D","A","C","0.00%","2.92"
"AHT","Ashford Hospitality Trust","REIT and Equity Trust - Other","4.30","0.00%","11.81%","31.08%","0.00%","0.00%","-150","27.31","NA","NA","-70.45%","NA","Nov 27,2025","D","F","B","F","0.00%",".02"
"ASH","ASHLAND INC","Chemical - Specialty","59.24","2.83%","-1.21%","0.65%","-2.22%","-1.84%","-7.69","2,682.28","15.24",".98","13.91%","15.49%","Oct 10,2025","C","C","C","C","0.00%","1.47"
"ASHTY","Ashtead Group","Industrial Services","254.61","NA","NA","NA","-0.35%","0.75%","2.64","NA","NA","NA","-1.49%","8.55%","Jan 01,2026","F","A","NA","NA","NA","NA"
"ASPN","Aspen Aerogels","Building Products - Miscellaneous","2.93","0.00%","-4.71%","-22.04%","0.00%","0.00%","66.67","233.89","NA","NA","-972.34%","NA","Nov 11,2025","C","B","A","A","0.00%",".66"
"ASBFY","Associated British Foods","Food - Miscellaneous","28.75","3.35%","0.46%","1.34%","0.00%","0.00%","NA","20,503.78","13.86","NA","-9.21%","NA","Dec 30,2025","B","B","F","B","0.00%","NA"
"ASTH","Astrana Health, Inc.","Medical - Outpatient and Home Healthcare","25.09","0.00%","-1.23%","8.86%","0.00%","0.00%","-97.87","1,396.52","20.79",".62","-45.56%","33.66%","Nov 11,2025","B","A","A","A","0.00%",".48"
"AESI","Atlas Energy Solutions Inc.","Oil and Gas - Integrated - United States","9.48","0.00%","-1.88%","-6.27%","0.00%","0.00%","-333.33","1,167.91","NA","NA","-180.00%","6.80%","Sep 27,2025","D","D","A","D","0.00%","1.05"
"ATHM","Autohome","Internet - Services","22.77","7.86%","-5.32%","-4.79%","0.00%","0.00%","-2.04","2,600.43","11.97","NA","-16.02%","NA","Oct 25,2025","F","F","B","F","0.00%","2.77"
"AVDL","Avadel Pharmaceuticals","Medical - Drugs","21.50","0.00%","-0.14%","0.91%","0.00%","0.00%","-100","2,104.50","26.63","NA","131.37%","NA","Nov 05,2025","F","A","C","C","0.00%","8.47"
"AZTA","Azenta","Medical Info Systems","33.35","0.00%","-3.62%","-5.24%","0.00%","0.00%","0","1,529.61","44.35","NA","47.06%","NA","Dec 30,2025","D","D","A","D","0.00%","2.57"
"TBBB","BBB Foods Inc.","Consumer Products - Staples","34.11","0.00%","-3.22%","0.12%","-150.00%","0.00%","-53.49","3,813.16","NA","NA","-500.00%","31.65%","Dec 17,2025","F","B","C","D","0.00%","1.03"
"BCBP","BCB Bancorp  NJ","Banks - Northeast","7.95","7.93%","-2.42%","-0.74%","-12.78%","9.13%","4.76","139.03","8.15","NA","-97.98%","NA","Jan 02,2026","B","D","B","C","0.00%",".75"
"BDORY","Banco Do Brasil","Banks - Foreign","3.99","0.56%","-0.88%","-8.22%","-6.40%","0.00%","-23.08","22,722.76","4.93","NA","-48.78%","NA","Jan 02,2026","C","F","D","F","0.00%",".38"
"BBWI","Bath & Body Works, Inc.","Retail - Miscellaneous","20.42","3.98%","1.83%","5.63%","0.21%","0.08%","-12.5","4,110.81","6.91",".74","-11.55%","9.32%","Nov 25,2025","B","D","D","C","0.00%",".56"
"TECH","BioTechne Corp","Medical - Biomedical and Genetics","59.30","0.54%","-0.64%","-7.44%","-0.30%","-0.90%","0","9,163.34","29.73","3.42","3.13%","8.70%","Jan 02,2026","F","B","C","F","0.00%","7.53"
"OBDC","Blue Owl Capital Corporation","Financial - Miscellaneous Services","12.54","11.91%","-1.27%","-7.58%","-2.25%","-7.48%","-7.69","6,352.33","9.12","NA","-20.00%","NA","Jan 02,2026","D","D","D","F","0.00%","3.53"
"BCC","Boise Cascade","Building Products - Wood","74.29","1.20%","-1.49%","-0.89%","0.00%","0.00%","0","2,726.37","14.95","NA","-63.64%","NA","Jan 01,2026","B","C","B","B","0.00%",".42"
"BRDCY","Bridgestone","Automotive - Foreign","22.85","2.12%","-1.71%","-4.43%","0.00%","0.00%","2.86","30,693.37","11.98","1.03","-5.07%","11.58%","Dec 24,2025","A","B","D","A","0.00%","NA"
"BUR","Burford Capital","Financial - Miscellaneous Services","8.83","1.40%","-0.89%","-2.83%","0.68%","-9.33%","-130","1,952.48","5.77",".15","24.24%","37.79%","Nov 08,2025","B","C","B","B","0.00%","4.13"
"CAE","CAE","Aerospace - Defense Equipment","30.93","0.00%","-3.31%","11.27%","0.00%","0.00%","21.43","9,780.24","34.92","2.3","3.57%","15.20%","Jan 01,2026","F","D","A","D","0.00%","2.83"
"CNMD","CONMED","Medical - Dental Supplies","40.72","1.97%","1.07%","-8.23%","-6.70%","-6.40%","2.86","1,257.30","9.11","2.68","7.67%","3.40%","Jan 02,2026","B","B","F","B","0.00%",".93"
