Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"SKFRY","AB SKF","Manufacturing - Tools & Related Products","27.59","2.54%","-0.83%","9.54%","-5.38%","-2.23%","-9.76","13,050.36","14.81","1.9","10.23%","7.79%","Feb 06,2026","C","C","C","C","-2.05%","1.4"
"ASX","ASE Technology","Electronics - Semiconductors","24.22","1.08%","1.38%","27.98%","-6.10%","NA","5","53,876.95","31.55","1.01","35.09%","31.34%","Jan 10,2026","D","A","F","B","0.25%","2.59"
"ASTS","AST SpaceMobile","Wireless Equipment","84.34","0.00%","-1.26%","-28.79%","-0.80%","-5.50%","-150","29,064.26","NA","NA","-62.12%","NA","Feb 28,2026","F","F","C","F","-7.66%","1568.41"
"ANIOY","Acerinox","Steel - Producers","7.91","2.80%","1.18%","2.86%","-1.67%","-1.28%","-283.33","NA","13.41","NA","755.56%","NA","Feb 28,2026","D","D","B","D","-0.50%","NA"
"AKBA","Akebia Therapeutics","Medical - Drugs","1.28","0.00%","11.02%","-7.09%","-44.44%","-101.00%","-66.67","350.92","11.23","NA","700.00%","NA","Feb 27,2026","A","A","D","A","-0.76%","1.49"
"AKZOY","AkzoNobel","Chemical - Diversified ","22.27","1.06%","-1.01%","0.99%","-5.78%","-7.40%","-24.14","12,040.44","14.38","1.58","18.98%","9.11%","Feb 05,2026","B","B","D","B","-0.26%","1.05"
"BABA","Alibaba","Internet - Commerce","142.37","0.66%","-6.69%","-15.01%","-0.25%","0.43%","-7.58","344,050.06","24.18","2.8","-33.85%","8.64%","Oct 15,2025","F","F","B","F","-2.66%","2.45"
"AMR","Alpha Metallurgical Resources","Mining - Miscellaneous","166.31","0.00%","-7.37%","-22.47%","-18.83%","-9.62%","0","2,091.36","10.01","NA","442.11%","NA","Feb 28,2026","B","F","B","D","-3.21%",".98"
"AMTB","Amerant Bancorp","Banks - Southeast","21.96","1.69%","-5.49%","-1.61%","0.00%","0.00%","23.26","881.02","10.44","NA","18.50%","NA","Feb 28,2026","D","F","A","D","-3.26%","1.3"
"CTXAY","Ampol Limited - Unsponsored ADR","Oil and Gas - Refining and Marketing","41.09","2.28%","-2.05%","1.24%","-26.30%","-17.48%","NA","NA","18.82","NA","NA","NA","Feb 10,2026","F","F","C","F","1.75%","NA"
"ASYS","Amtech Systems","Semiconductor - General","14.09","0.00%","9.85%","-22.37%","-41.86%","NA","-57.14","188.01","52.2","NA","400.00%","NA","Feb 11,2026","F","A","F","C","0.54%","2.54"
"ANGI","Angi","Internet - Content","7.77","0.00%","-7.49%","-40.06%","-49.70%","-34.12%","-34.62","312.02","9.15","NA","-9.57%","NA","Feb 18,2026","A","A","A","A","-3.59%",".3"
"APOG","Apogee Enterprises","Glass Products","39.45","2.71%","-3.02%","7.24%","0.00%","0.00%","-.97","856.53","11.26","NA","-28.77%","NA","Jan 21,2026","B","D","B","C","-0.28%",".61"
"ARI","Apollo Commercial Real Estate Finance","REIT and Equity Trust","10.80","9.43%","-0.28%","-1.94%","-15.52%","NA","-3.7","1,479.75","10.82","NA","-6.67%","NA","Feb 20,2026","F","F","F","F","-1.12%","5.45"
"ASTH","Astrana Health, Inc.","Medical - Outpatient and Home Healthcare","25.04","0.00%","2.37%","-10.60%","0.00%","0.00%","-97.87","1,144.34","20.4",".61","-45.56%","33.66%","Jan 30,2026","B","A","C","A","-2.77%",".4"
"ATHM","Autohome","Internet - Services","19.34","9.12%","-8.88%","-12.98%","-3.47%","-5.88%","-2.04","2,240.62","10.9","NA","-17.75%","NA","Feb 14,2026","F","F","A","F","-3.91%","2.38"
"AVTR","Avantor","Medical Services","8.74","0.00%","0.22%","-17.13%","-9.57%","-13.01%","4.76","6,172.61","11.2","3.47","-10.00%","3.23%","Feb 28,2026","C","D","D","D","0.44%",".94"
"CAR","Avis Budget Group","Transportation - Services","95.55","0.00%","0.97%","-15.29%","-37.26%","3.24%","-2151.72","3,434.54","15.74","NA","158.78%","NA","Feb 20,2026","A","F","F","D","0.90%",".29"
"ACLS","Axcelis Technologies","Electronics - Manufacturing Machinery","84.51","0.00%","3.06%","-6.20%","-19.55%","-1.62%","33.04","2,537.68","23.34","7.96","-27.46%","2.93%","Feb 21,2026","F","F","D","F","-1.16%","3.02"
"BASFY","BASF","Chemical - Diversified ","13.90","3.08%","-0.21%","6.27%","0.00%","0.00%","-140","NA","20.3","NA","31.48%","NA","Feb 28,2026","D","F","D","F","-2.04%","NA"
"BMI","Badger Meter","Instruments - Control","151.13","1.05%","-4.35%","3.99%","-4.78%","-2.76%","-.87","4,448.15","30.29","2.45","5.01%","12.37%","Feb 27,2026","F","A","C","D","-2.39%","4.85"
"BWIN","Baldwin Insurance Group, Inc.","Insurance - Life Insurance","23.03","0.00%","40.53%","5.98%","0.00%","0.00%","6.9","2,756.20","12.04",".59","15.57%","20.28%","Feb 27,2026","D","D","B","D","25.64%","1.83"
"BCH","Banco De Chile","Banks - Foreign","40.03","3.82%","-4.97%","-5.84%","-1.25%","-2.70%","-3.33","NA","15.26","1.16","2.67%","13.11%","Feb 26,2026","D","C","C","D","-3.68%","NA"
"BTDPY","Barratt Redrow plc.","Building Products - Miscellaneous","9.49","5.22%","-6.00%","-10.00%","-3.45%","-4.26%","NA","6,909.74","11.57","NA","29.23%","NA","Feb 28,2026","C","D","A","C","-1.82%","NA"
"BBSI","Barrett Business Services","Outsourcing","27.74","1.15%","-14.00%","-26.92%","-9.37%","-12.01%","0","699.89","12.9",".81","3.37%","16.00%","Feb 28,2026","A","A","B","A","3.50%",".56"
