Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"AAON","AAON","Building Products - Air Conditioner and Heating","95.74","0.43%","-0.87%","14.38%","0.00%","0.00%","-29.03","7,618.23","69.99","NA","-33.66%","NA","Jul 15,2025","F","F","A","F","2.13%","6.05"
"ATS","ATS Corporation","Manufacturing - General Industrial ","26.90","0.00%","-4.76%","-2.86%","-2.36%","-1.63%","11.11","2,562.96","21.13","NA","16.98%","NA","Sep 23,2025","D","A","B","B","-0.46%","1.39"
"ACU","Acme United","Consumer Products - Discretionary","40.84","1.55%","0.37%","-3.06%","0.00%","0.00%","-26.03","156.45","16.28","NA","3.27%","NA","Sep 17,2025","B","A","C","A","1.45%",".81"
"AHCO","AdaptHealth","Medical - Products","8.88","0.00%","-0.22%","-2.19%","0.00%","0.00%","-93.33","1,210.92","9.68",".88","-3.13%","11.00%","Sep 20,2025","A","A","B","A","3.11%",".37"
"AGL","Agilon Health","Medical Services","1.04","0.00%","-7.21%","-18.90%","0.00%","0.00%","-127.27","426.86","NA","NA","-1.67%","15.51%","Oct 01,2025","F","A","A","D","-7.21%",".07"
"ALTI","ALTI GLOBAL INC","Financial - Miscellaneous Services","3.50","0.00%","-5.82%","-16.43%","0.00%","0.00%","-1700","522.09","35.6","NA","117.54%","NA","Aug 09,2025","F","F","B","F","-0.28%","2.4"
"AIN","Albany International","Textile - Products","53.41","2.03%","-4.15%","-14.40%","0.00%","0.00%","-21.92","1,572.35","17.16","1.27","-2.20%","13.50%","Aug 21,2025","C","A","A","A","0.95%","1.33"
"ALX","Alexander's","REIT and Equity Trust - Other","234.55","7.68%","-2.34%","2.80%","0.00%","0.00%","-6.49","1,197.61","19.57","NA","-21.13%","NA","Sep 20,2025","F","D","A","D","0.49%","5.49"
"COLD","Americold Realty Trust","REIT and Equity Trust - Other","12.40","7.52%","-3.16%","-13.13%","-0.88%","-6.93%","5.88","3,485.93","8.71","3.59","-4.08%","2.43%","Sep 23,2025","C","B","F","C","-2.00%","1.33"
"AMRZ","Amrize Ltd","Building Products - Miscellaneous","47.84","0.00%","-3.44%","-7.86%","-3.66%","-1.60%","-24.27","26,841.07","19.51","1.62","NA","12.07%","Sep 16,2025","D","C","D","D","1.21%","NA"
