Date,Type,Rank,Symbol,Company Name,Quant,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
2024-09-01,top_rated_overall,1,PSIX,"Power Solutions International, Inc.",Rating: Strong Buy4.99,Rating: Buy4.00,Rating: Strong Buy5.00,445.34M,-,A,A+,A+,A+,A
2024-09-01,top_rated_overall,2,HRTG,"Heritage Insurance Holdings, Inc.",Rating: Strong Buy4.99,Rating: Buy4.00,Rating: Buy4.00,469.94M,-,A+,B+,B+,A+,A
2024-09-01,top_rated_overall,3,CLOV,"Clover Health Investments, Corp.",Rating: Strong Buy4.98,Rating: Buy4.00,Rating: Buy3.66,1.31B,-,A,B-,B,A+,A
2024-09-01,top_rated_overall,4,WF,Woori Financial Group Inc.,Rating: Strong Buy4.97,Rating: Buy4.00,Rating: Strong Buy5.00,9.05B,7.21%,A+,B,A+,B-,B+
2024-09-01,top_rated_overall,5,ROIV,Roivant Sciences Ltd.,Rating: Strong Buy4.97,Rating: Buy4.00,Rating: Buy4.45,9.04B,-,A+,A,A+,B+,A+
2024-09-01,top_rated_overall,6,GM,General Motors Company,Rating: Strong Buy4.96,Rating: Buy3.66,Rating: Buy4.00,55.95B,0.84%,A,A,A+,A,B+
2024-09-01,top_rated_overall,7,KB,KB Financial Group Inc.,Rating: Strong Buy4.95,Rating: Strong Buy4.50,Rating: Strong Buy5.00,24.90B,4.10%,A,B,A+,A,A+
2024-09-01,top_rated_overall,8,QFIN,"Qifu Technology, Inc.",Rating: Strong Buy4.95,Rating: Buy4.00,Rating: Strong Buy4.75,4.11B,4.08%,A,A-,B+,A+,A+
2024-09-01,top_rated_overall,9,SYF,Synchrony Financial,Rating: Strong Buy4.94,Rating: Buy3.50,Rating: Buy3.95,19.86B,1.99%,A+,A-,A+,A-,B
2024-09-01,top_rated_overall,10,REVG,"REV Group, Inc.",Rating: Strong Buy4.93,Rating: Buy3.50,Rating: Buy3.75,1.65B,0.63%,A-,B+,B-,A+,A-
