Date,Type,Rank,Symbol,Company Name,Quant,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
2023-08-01,top_rated_overall,1,LI,Li Auto Inc.,4.99,3.5,4.58,41.86B,-,A-,A+,A-,A+,A-
2023-08-01,top_rated_overall,2,LMB,"Limbach Holdings, Inc.",4.98,4.66,4.5,273.58M,-,B+,B,B-,A+,B+
2023-08-01,top_rated_overall,3,RMTI,"Rockwell Medical, Inc.",4.98,3.66,4,101.99M,-,B,A,B,A+,A+
2023-08-01,top_rated_overall,4,UNCRY,UniCredit S.p.A.,4.97,3.83,5,44.89B,4.39%,A,A+,A+,A+,A
2023-08-01,top_rated_overall,5,CLS,Celestica Inc.,4.96,4,4.28,2.47B,-,A,B,B-,A+,A+
2023-08-01,top_rated_overall,6,STRL,"Sterling Infrastructure, Inc.",4.95,4,4,1.81B,-,B+,B+,B,A+,A
2023-08-01,top_rated_overall,7,UAL,"United Airlines Holdings, Inc.",4.94,4.25,3.9,17.77B,-,A+,A+,A+,B+,B+
2023-08-01,top_rated_overall,8,ISNPY,Intesa Sanpaolo S.p.A.,4.94,4.2,5,50.50B,6.05%,A+,A+,A+,A,A
2023-08-01,top_rated_overall,9,MOMO,Hello Group Inc.,4.94,4,4.15,1.99B,-,A+,B-,B-,A+,A-
2023-08-01,top_rated_overall,10,EPRT,"Essential Properties Realty Trust, Inc.",4.93,4.16,4.4,3.84B,4.49%,B-,A,A+,B+,A+
2023-08-01,top_rated_overall,11,DAL,"Delta Air Lines, Inc.",4.92,4.4,4.6,29.28B,0.22%,A-,A,A+,A-,A-
2023-08-01,top_rated_overall,12,BELFB,Bel Fuse Inc.,4.92,4.33,4.5,742.91M,0.49%,B,B+,A-,A+,A-
2023-08-01,top_rated_overall,13,PNNT,PennantPark Investment Corporation,4.91,3.5,3.77,428.52M,10.65%,A+,A+,A-,A-,A
2023-08-01,top_rated_overall,14,EPM,Evolution Petroleum Corporation,4.9,4,4.5,300.99M,5.20%,B-,B+,A,A,A
2023-08-01,top_rated_overall,15,PLAB,"Photronics, Inc.",4.9,4.33,5,1.64B,-,A,B,B+,A,A
